date,n,topk,gross_return,benchmark_return,active_return,net_return,net_active_return,turnover,cost,max_industry_weight,size_exposure
2023-01-03,40,30,0.006316693240607731,0.006168675270062455,0.0001480179705452755,0.005816693240607731,-0.00035198202945472407,0.5,0.0005,0.19999999999999998,-0.03555583288633457
2023-01-04,40,30,0.005582715312291457,0.0063945878236824575,-0.0008118725113910007,0.005349381978958123,-0.0010452058447243343,0.23333333333333334,0.00023333333333333333,0.3,-0.04536196150785443
2023-01-05,40,30,0.00815437888034468,0.009605209181020835,-0.001450830300676156,0.008021045547011347,-0.0015841636340094885,0.13333333333333333,0.00013333333333333334,0.26666666666666666,-0.010404449442976471
2023-01-06,40,30,0.006775674958867088,0.00608008140339477,0.0006955935554723179,0.0066423416255337545,0.0005622602221389845,0.13333333333333333,0.00013333333333333334,0.2333333333333333,0.03131278051023756
2023-01-09,40,30,0.0046236710578776066,0.005087218743960816,-0.00046354768608320926,0.004490337724544273,-0.0005968810194165427,0.13333333333333333,0.00013333333333333334,0.2333333333333333,-0.05391785513618785
2023-01-10,40,30,-0.00046417076867099434,-1.6881912967489087e-05,-0.00044728885570350524,-0.0005975041020043277,-0.0005806221890368386,0.13333333333333333,0.00013333333333333334,0.19999999999999998,-0.036373278832634526
2023-01-11,40,30,-0.004803800558331929,-0.0037644281126863453,-0.0010393724456455836,-0.004970467224998595,-0.00120603911231225,0.16666666666666666,0.00016666666666666666,0.19999999999999998,-0.18672651615077385
2023-01-12,40,30,-0.002452029634190188,-0.0006518681970145402,-0.0018001614371756477,-0.0025186963008568546,-0.0018668281038423144,0.06666666666666667,6.666666666666667e-05,0.26666666666666666,-0.08367541227636366
2023-01-13,40,30,0.000920083674982514,0.0013931925510944493,-0.00047310887611193525,0.0007867503416491806,-0.0006064422094452686,0.13333333333333333,0.00013333333333333334,0.2333333333333333,-0.04000286269353026
2023-01-17,40,30,0.0022462649490050776,0.0020583248300680155,0.00018794011893706218,0.002146264949005078,8.794011893706235e-05,0.1,0.0001,0.26666666666666666,0.029956318312702734
2023-01-18,40,30,0.005711672983645301,0.005619156958010211,9.251602563508949e-05,0.005545006316978634,-7.415064103157704e-05,0.16666666666666666,0.00016666666666666666,0.2333333333333333,0.008008125865988092
2023-01-19,40,30,0.00896160021947628,0.00881931590604049,0.00014228431343578894,0.008761600219476279,-5.771568656421158e-05,0.2,0.0002,0.26666666666666666,-0.0677498312395457
2023-01-20,40,30,0.004283225688673472,0.004660152985292912,-0.00037692729661943994,0.004149892355340139,-0.0005102606299527733,0.13333333333333333,0.00013333333333333334,0.2333333333333333,-0.02111295927124246
