date,n,ic,rankic,icir,rankicir
2023-07-26,327,-0.17278356,-0.15367545,,
2023-07-27,327,-0.03193929,-0.01950890,,
2023-07-28,327,0.15710769,0.10000867,,
2023-07-31,327,-0.09349198,-0.09701945,,
2023-08-01,327,-0.18132208,-0.08378968,,
2023-08-02,327,-0.06075045,-0.08436022,,
2023-08-03,327,0.07539086,0.08870636,,
2023-08-04,327,0.02635112,0.03398846,,
2023-08-07,327,0.23525382,0.15053632,,
2023-08-08,328,-0.04428216,-0.06078864,,
2023-08-09,328,0.05778901,-0.03561387,,
2023-08-10,328,-0.07056001,-0.08675969,,
2023-08-11,328,-0.24396464,-0.27387608,,
2023-08-14,328,-0.05855717,-0.09968021,,
2023-08-15,328,0.13019726,0.13688502,,
2023-08-16,328,-0.21394742,-0.15070360,,
2023-08-17,328,0.01557549,0.01847000,,
2023-08-18,328,0.00972343,-0.10554428,,
2023-08-21,328,-0.02398811,-0.02691743,,
2023-08-22,328,0.03721974,0.07285894,,
2023-08-23,328,-0.29506029,-0.20673980,,
2023-08-24,328,0.01763432,-0.03377542,,
2023-08-25,328,0.23732949,0.18406702,,
2023-08-28,328,-0.00697195,0.05492686,,
2023-08-29,328,0.22708818,0.22200664,,
2023-08-30,328,0.09401055,0.08612744,,
2023-08-31,328,-0.04368216,-0.00239990,,
2023-09-01,328,-0.04453711,-0.02049294,,
2023-09-04,328,-0.04575173,-0.02149378,,
2023-09-05,328,-0.15773677,-0.16062810,,
2023-09-06,328,-0.05662807,-0.04075514,,
2023-09-07,328,0.04511476,0.07657021,,
2023-09-08,328,0.01697275,0.02448000,,
2023-09-11,328,0.09903562,0.03650153,,
2023-09-12,328,-0.03513401,-0.05161177,,
2023-09-13,328,-0.00524198,-0.00123826,,
2023-09-14,328,0.05816807,0.09436263,,
2023-09-15,328,-0.05522604,-0.08671932,,
2023-09-18,328,-0.10717281,-0.02498816,,
2023-09-19,328,-0.05269151,-0.07651139,,
2023-09-20,328,-0.02520250,0.04008540,,
2023-09-21,328,0.09124536,0.02867472,,
2023-09-22,328,-0.01533221,-0.06585452,,
2023-09-25,328,-0.12102723,-0.02213554,,
2023-09-26,328,-0.01985071,-0.05406184,,
2023-09-27,328,0.02903709,0.12071212,,
2023-09-28,328,0.04376537,0.05986188,,
2023-10-09,328,-0.05136972,0.02438885,,
2023-10-10,328,-0.16475275,-0.17460855,,
2023-10-11,328,0.04795814,0.02331549,,
2023-10-12,328,0.03130008,0.01072289,,
2023-10-13,328,-0.14210089,-0.07734749,,
2023-10-16,328,-0.06206287,-0.06726263,,
2023-10-17,328,-0.03350622,-0.03514874,,
2023-10-18,328,-0.12628789,-0.12906574,,
2023-10-19,328,0.07724094,0.06775881,,
2023-10-20,328,0.01024768,0.07970724,,
2023-10-23,328,-0.04196346,0.03170324,,
2023-10-24,328,-0.05354313,-0.03492369,,
2023-10-25,328,0.16522095,0.12532626,,
2023-10-26,328,0.09658034,0.06111860,,
2023-10-27,328,0.09251811,0.05625368,,
2023-10-30,328,0.13404401,0.12548883,,
2023-10-31,328,0.00838329,0.00651002,,
2023-11-01,328,0.12199140,0.12532249,,
2023-11-02,328,-0.12931957,-0.06602296,,
2023-11-03,328,-0.12424082,-0.14817885,,
2023-11-06,328,0.11242918,0.10931843,,
2023-11-07,328,-0.07617075,-0.03053845,,
2023-11-08,328,0.07794821,0.01792720,,
2023-11-09,328,-0.00979222,-0.08331198,,
2023-11-10,328,-0.04197470,0.03972829,,
2023-11-13,328,0.11985843,0.09652046,,
2023-11-14,328,0.12568967,0.05182085,,
2023-11-15,328,-0.01802688,-0.02842166,,
2023-11-16,328,-0.01557051,0.11139905,,
2023-11-17,328,0.17792244,0.08870492,,
2023-11-20,328,-0.01991124,-0.00702480,,
2023-11-21,328,0.10985141,0.08186076,,
2023-11-22,328,-0.08527972,-0.06904420,,
2023-11-23,328,0.01704949,-0.05421347,,
2023-11-24,328,-0.03075624,0.02774677,,
2023-11-27,328,0.17665291,0.11522370,,
2023-11-28,328,-0.13160041,-0.11643730,,
2023-11-29,328,-0.05443060,-0.11433152,,
2023-11-30,328,-0.05074002,-0.05557145,,
2023-12-01,328,-0.09700498,-0.11715110,,
2023-12-04,328,-0.17035499,-0.08849215,,
2023-12-05,328,-0.02220455,-0.02344760,,
2023-12-06,328,-0.05785412,-0.02585738,,
2023-12-07,328,0.08752202,0.09096211,,
2023-12-08,328,0.08914621,0.08864296,,
2023-12-11,328,0.08312217,0.07541932,,
2023-12-12,328,0.06404748,-0.00346818,,
2023-12-13,328,-0.05930794,-0.04564953,,
2023-12-14,328,-0.01127629,0.04122156,,
2023-12-15,328,0.10240254,-0.01290752,,
2023-12-18,328,0.15000538,0.06488340,,
2023-12-19,328,-0.04148154,0.04986834,,
2023-12-20,328,-0.20204535,-0.13410766,,
2023-12-21,328,0.10962560,0.03005300,,
2023-12-22,328,-0.14504788,-0.12063542,,
2023-12-25,328,0.11313490,0.08142390,,
2023-12-26,328,0.04418014,0.06657171,,
2023-12-27,328,0.00736613,0.06760830,,
2023-12-28,328,-0.02686518,-0.08308127,,
2023-12-29,328,0.01341671,-0.04081606,,
2024-01-02,328,-0.16878237,-0.09561098,,
2024-01-03,328,-0.07028608,-0.04450677,,
2024-01-04,328,-0.03099307,-0.05737035,,
2024-01-05,328,-0.00590335,-0.01123170,,
2024-01-08,328,-0.09401315,-0.02750847,,
2024-01-09,328,-0.13749951,-0.06486878,,
2024-01-10,328,-0.05825565,-0.08755692,,
2024-01-11,328,-0.06385140,-0.12950143,,
2024-01-12,328,-0.25255308,-0.15421326,,
2024-01-15,328,-0.00650276,0.00579014,,
2024-01-16,328,-0.10560720,-0.02259145,,
2024-01-17,328,-0.07662012,-0.09771066,,
2024-01-18,328,0.00716563,0.00933766,,
2024-01-19,328,0.03255092,-0.03203230,,
2024-01-22,328,-0.06187752,-0.07267884,,
2024-01-23,328,-0.03076615,-0.04205815,,
2024-01-24,328,0.09110565,0.12972411,,
2024-01-25,328,0.19560435,0.12091020,,
2024-01-26,328,-0.07948159,-0.06193026,,
2024-01-29,328,-0.04751040,-0.00016924,,
2024-01-30,328,0.12297313,0.15443500,,
2024-01-31,328,-0.08693107,-0.11842736,,
2024-02-01,328,0.17911370,0.25413812,,
2024-02-02,328,0.09930878,0.05909348,,
2024-02-05,328,0.15425126,0.11281896,,
2024-02-06,328,0.11317987,0.13070363,,
2024-02-07,328,-0.00330083,0.00721232,,
2024-02-08,328,0.01293317,0.00438651,,
2024-02-19,328,0.05760330,0.04032330,,
2024-02-20,328,-0.14371474,-0.20120216,,
2024-02-21,328,-0.20668329,-0.19019355,,
2024-02-22,328,0.07279488,0.06147438,,
2024-02-23,328,-0.17013745,-0.17015564,,
2024-02-26,328,0.26201428,0.17690800,,
2024-02-27,328,0.03106875,0.02111053,,
2024-02-28,328,-0.01003761,0.01351254,,
2024-02-29,328,-0.06613862,-0.04149215,,
2024-03-01,328,0.07316658,0.09115859,,
2024-03-04,328,-0.03941124,-0.07570745,,
2024-03-05,328,-0.09218792,-0.00119853,,
2024-03-06,328,-0.13127597,-0.20463490,,
2024-03-07,328,0.03637406,0.06174240,,
2024-03-08,328,0.12427210,0.16795898,,
2024-03-11,328,0.06018737,-0.01059734,,
2024-03-12,328,0.12550945,0.11122417,,
2024-03-13,328,-0.11089603,-0.05273266,,
2024-03-14,328,-0.13551547,-0.14968843,,
2024-03-15,328,0.03830942,0.13618491,,
2024-03-18,328,nan,-0.07411323,,
2024-03-19,328,nan,-0.03760766,,
2024-03-20,328,nan,-0.03982217,,
2024-03-21,328,nan,-0.01503160,,
2024-03-22,328,nan,0.07801149,,
2024-03-25,328,nan,-0.07710408,,
2024-03-26,328,-0.07645178,-0.09389700,,
2024-03-27,328,-0.17239191,-0.17009044,,
2024-03-28,328,-0.04816183,-0.03923133,,
2024-03-29,328,-0.02245951,-0.05810682,,
2024-04-01,328,-0.08896036,-0.11320980,,
2024-04-02,328,-0.05600321,-0.09467637,,
2024-04-03,328,-0.02465767,0.05735236,,
2024-04-08,328,-0.14175654,-0.11266240,,
2024-04-09,328,0.08182851,0.02956065,,
2024-04-10,328,0.11480672,0.04067883,,
2024-04-11,328,0.04952341,0.02958027,,
2024-04-12,328,0.17970552,0.15526917,,
2024-04-15,328,-0.23933767,-0.22590618,,
2024-04-16,328,-0.04632432,0.00305131,,
2024-04-17,328,0.11167659,0.10345495,,
2024-04-18,328,0.19771761,0.26456061,,
2024-04-19,328,0.29967328,0.25923962,,
2024-04-22,328,0.08538599,-0.01267484,,
2024-04-23,328,-0.04873943,-0.05332752,,
2024-04-24,328,-0.02177159,0.02509029,,
2024-04-25,328,0.06320384,0.08411294,,
2024-04-26,328,0.07468571,0.04792037,,
2024-04-29,328,0.05583550,0.02846887,,
2024-04-30,328,-0.03276018,0.05486291,,
2024-05-06,328,0.07634840,0.02483915,,
2024-05-07,328,-0.14450094,-0.13301850,,
2024-05-08,328,-0.15082063,-0.19102146,,
2024-05-09,328,-0.06135806,-0.05366715,,
2024-05-10,328,-0.01282029,-0.01912470,,
2024-05-13,328,0.03306562,0.02461412,,
2024-05-14,328,-0.01063727,-0.02539904,,
2024-05-15,328,-0.05194713,0.01830120,,
2024-05-16,328,-0.07860874,-0.05806804,,
2024-05-17,328,0.04745415,0.04492444,,
2024-05-20,328,-0.11072722,-0.10265313,,
2024-05-21,328,-0.00034064,0.00468401,,
2024-05-22,328,0.06861604,0.02675815,,
2024-05-23,328,0.05340451,0.02320491,,
2024-05-24,328,-0.08484071,-0.04667236,,
2024-05-27,328,-0.08218563,-0.07863728,,
2024-05-28,328,0.02887665,0.07301819,,
2024-05-29,328,-0.04559428,-0.04087535,,
2024-05-30,328,0.08594568,0.07881847,,
2024-05-31,328,-0.09646673,-0.06567414,,
2024-06-03,328,0.01526608,0.08338389,,
2024-06-04,328,-0.12127879,-0.10751600,,
2024-06-05,328,-0.12863373,-0.11954929,,
2024-06-06,328,0.09785119,0.07897190,,
2024-06-07,328,-0.05070048,-0.10561838,,
2024-06-11,328,-0.13637209,-0.08848162,,
2024-06-12,328,-0.06486787,0.01017453,,
2024-06-13,328,-0.13310763,-0.05926735,,
2024-06-14,328,-0.09372286,-0.10139977,,
2024-06-17,328,0.03736674,0.05368976,,
2024-06-18,328,0.06133383,0.02158072,,
2024-06-19,328,-0.02523152,-0.09030654,,
2024-06-20,328,-0.00748719,0.03811677,,
2024-06-21,328,0.02527542,0.07543749,,
2024-06-24,328,-0.00998668,-0.02288129,,
2024-06-25,328,0.01066674,0.01223530,,
2024-06-26,328,-0.13891274,-0.16551684,,
2024-06-27,328,-0.02287198,-0.04639736,,
2024-06-28,328,-0.10433254,-0.10772076,,
2024-07-01,328,-0.12686357,-0.12879311,,
2024-07-02,328,-0.07988119,0.01649982,,
2024-07-03,328,0.13688774,0.12330821,,
2024-07-04,328,-0.04911112,-0.04827327,,
2024-07-05,328,-0.16041171,-0.12041705,,
2024-07-08,328,0.06265764,0.01369395,,
2024-07-09,328,-0.09148095,-0.05427341,,
2024-07-10,328,0.12514266,0.07902675,,
2024-07-11,328,-0.05062753,-0.07448120,,
2024-07-12,328,-0.07401891,-0.05846970,,
2024-07-15,328,0.20090269,0.21826144,,
2024-07-16,328,0.05376330,0.08552129,,
2024-07-17,328,nan,0.03066677,,
2024-07-18,328,nan,-0.00777868,,
2024-07-19,328,nan,0.04298085,,
2024-07-22,328,nan,-0.05001934,,
2024-07-23,328,nan,-0.08237330,,
2024-07-24,328,nan,0.10007040,,
2024-07-25,328,nan,-0.08286205,,
2024-07-26,328,nan,0.03174587,,
2024-07-29,328,nan,0.15389758,,
2024-07-30,328,nan,0.00115949,,
2024-07-31,328,nan,0.18061143,,
2024-08-01,328,0.36603174,0.24402281,,
2024-08-02,328,0.08524090,0.07822736,,
2024-08-05,328,0.03731995,0.07260055,,
2024-08-06,328,0.12044234,0.11976958,,
2024-08-07,328,-0.02904496,-0.00324202,,
2024-08-08,328,-0.00867917,0.04146215,,
2024-08-09,328,-0.13227882,-0.23120530,,
2024-08-12,328,-0.22689663,-0.21882461,,
2024-08-13,328,-0.00266543,-0.03730193,,
2024-08-14,328,0.06297070,-0.01208444,,
2024-08-15,328,-0.03503512,-0.04928440,,
2024-08-16,328,0.03215135,-0.01095783,,
2024-08-19,328,-0.01658537,-0.01189974,,
2024-08-20,328,nan,0.03045814,,
2024-08-21,328,nan,0.06771665,,
2024-08-22,328,nan,-0.00345716,,
2024-08-23,328,nan,-0.01364275,,
2024-08-26,328,nan,0.15966704,,
2024-08-27,328,nan,0.11414818,,
2024-08-28,328,nan,0.04250870,,
2024-08-29,328,nan,0.05747855,,
2024-08-30,328,nan,-0.09344830,,
2024-09-02,328,nan,0.04506485,,
2024-09-03,328,nan,-0.00542689,,
2024-09-04,328,nan,0.04137933,,
2024-09-05,328,nan,-0.06056716,,
2024-09-06,328,nan,0.15098605,,
2024-09-09,328,nan,0.03307462,,
2024-09-10,328,nan,-0.07831077,,
2024-09-11,328,nan,0.07446249,,
2024-09-12,328,nan,0.02056789,,
2024-09-13,328,nan,0.03851532,,
2024-09-18,328,nan,-0.02852860,,
2024-09-19,328,nan,-0.01573890,,
2024-09-20,328,nan,-0.07331928,,
2024-09-23,328,nan,0.02052548,,
2024-09-24,328,nan,0.04998409,,
2024-09-25,328,nan,-0.01953177,,
2024-09-26,328,nan,0.08643333,,
2024-09-27,328,nan,0.08628888,,
2024-09-30,328,nan,0.07064600,,
2024-10-08,328,nan,-0.28343914,,
2024-10-09,328,-0.05217658,-0.10000568,,
2024-10-10,328,0.01979538,0.02160916,,
2024-10-11,328,0.09615425,0.08593745,,
2024-10-14,328,0.10456739,0.11891399,,
2024-10-15,328,0.01944886,0.01003366,,
2024-10-16,328,0.24650398,0.21501882,,
2024-10-17,328,-0.04708407,-0.00554207,,
2024-10-18,328,0.06371782,0.04382780,,
2024-10-21,328,0.04630052,0.10283121,,
2024-10-22,328,0.02776822,0.02551642,,
2024-10-23,328,-0.02748846,0.00738134,,
2024-10-24,328,nan,0.06040091,,
2024-10-25,328,nan,-0.01641486,,
2024-10-28,328,nan,0.05064201,,
2024-10-29,328,nan,-0.01858859,,
2024-10-30,328,nan,0.07254160,,
2024-10-31,328,nan,-0.07237294,,
2024-11-01,328,nan,0.19735498,,
2024-11-04,328,nan,-0.01878318,,
2024-11-05,328,nan,0.03256264,,
2024-11-06,328,nan,0.04630524,,
2024-11-07,328,nan,-0.15554074,,
2024-11-08,328,0.10485418,0.14098654,,
2024-11-11,328,-0.00626547,0.03944847,,
2024-11-12,328,0.07778614,0.03948083,,
2024-11-13,328,0.02375292,0.05905439,,
2024-11-14,328,-0.17122603,-0.22207907,,
2024-11-15,328,0.22921920,0.27227809,,
2024-11-18,328,0.07541646,0.05799640,,
2024-11-19,328,0.06607248,0.07569190,,
2024-11-20,328,0.00065637,0.05080339,,
2024-11-21,328,-0.13255819,-0.10127639,,
2024-11-22,328,-0.00711319,-0.09237214,,
2024-11-25,328,-0.09008441,-0.08215689,,
2024-11-26,328,-0.03369516,-0.09098462,,
2024-11-27,328,-0.12708937,-0.15564251,,
2024-11-28,328,0.07057780,0.02983407,,
2024-11-29,328,0.17880080,0.16128689,,
2024-12-02,328,0.13563232,0.13950102,,
2024-12-03,328,-0.02481373,-0.08698837,,
2024-12-04,328,0.11522952,0.08122411,,
2024-12-05,328,-0.01538960,-0.00888248,,
2024-12-06,328,0.11808704,0.08209946,,
2024-12-09,328,-0.02273694,0.09465067,,
2024-12-10,328,-0.00364545,0.01504972,,
2024-12-11,328,-0.01767555,0.02088124,,
2024-12-12,328,-0.03239044,-0.02457084,,
2024-12-13,328,0.07924280,0.09097157,,
2024-12-16,328,-0.01345262,-0.03858000,,
2024-12-17,328,-0.06340956,-0.02322921,,
2024-12-18,328,-0.16781387,-0.10083520,,
2024-12-19,328,nan,0.05432979,,
2024-12-20,328,nan,0.03458320,,
2024-12-23,327,-0.17079614,-0.12210043,,
2024-12-24,327,-0.21540616,-0.10153624,,
2024-12-25,327,0.12149536,0.00165052,,
2024-12-26,327,0.01283486,0.01519193,,
2024-12-27,327,0.10498388,0.13430430,,
2024-12-30,327,nan,-0.07760702,,
2024-12-31,327,nan,0.16237889,,
SUMMARY,158478,-0.00582856,0.00022628,-0.05284884,0.00221945
