date,n,ic,rankic,icir,rankicir
2023-01-03,307,0.00530034,-0.02355085,,
2023-01-04,307,0.13032527,-0.04183317,,
2023-01-05,307,-0.01846297,-0.10917494,,
2023-01-06,307,0.00602090,0.08434084,,
2023-01-09,307,0.09700403,0.13302361,,
2023-01-10,307,-0.02708545,-0.08009013,,
2023-01-11,307,-0.04605378,-0.01999769,,
2023-01-12,307,-0.01410927,-0.07063542,,
2023-01-13,307,0.16534234,0.02184725,,
2023-01-16,307,0.02314504,0.05641386,,
2023-01-17,307,0.11024595,0.09757567,,
2023-01-18,307,0.04382654,0.20731965,,
2023-01-19,307,0.11665789,0.02608291,,
2023-01-20,307,0.01225903,0.05891567,,
2023-01-30,307,-0.00484900,0.06142440,,
2023-01-31,307,0.22556663,0.18733597,,
2023-02-01,307,0.13986951,0.17930768,,
2023-02-02,307,0.19370484,0.19127960,,
2023-02-03,307,0.14600389,0.02374168,,
2023-02-06,307,0.20313282,0.17270808,,
2023-02-07,307,0.25621595,-0.02685206,,
2023-02-08,307,0.32640335,0.14667834,,
2023-02-09,307,0.04839106,0.04820596,,
2023-02-10,307,0.08083541,0.06061520,,
2023-02-13,307,0.07864004,0.03558853,,
2023-02-14,307,0.13495191,0.07970978,,
2023-02-15,307,-0.01986514,-0.17357149,,
2023-02-16,307,-0.05231368,-0.04181399,,
2023-02-17,308,0.06433834,0.02282279,,
2023-02-20,308,0.16426098,-0.03430335,,
2023-02-21,308,0.19584455,0.16823734,,
2023-02-22,308,-0.07863343,-0.05515616,,
2023-02-23,308,0.20383515,0.16816531,,
2023-02-24,308,-0.09634404,-0.17811488,,
2023-02-27,308,0.19287323,0.16606420,,
2023-02-28,308,0.07546715,0.00924299,,
2023-03-01,308,0.12047130,-0.05356091,,
2023-03-02,308,0.14594989,-0.15579530,,
2023-03-03,308,0.08704727,0.06876992,,
2023-03-06,308,-0.01181229,-0.19481294,,
2023-03-07,308,0.20554588,0.26758674,,
2023-03-08,308,-0.00341745,0.02192291,,
2023-03-09,308,0.17549107,0.06300708,,
2023-03-10,308,-0.00827887,-0.04502757,,
2023-03-13,308,0.01303018,-0.02197717,,
2023-03-14,309,0.05435012,0.01592480,,
2023-03-15,309,0.03695947,0.01110130,,
