date,n,ic,rankic,icir,rankicir
2023-06-30,311,0.10022420,0.03493230,,
2023-07-03,311,0.03554600,0.05739095,,
2023-07-04,311,-0.02827706,-0.03816010,,
2023-07-05,311,-0.00912240,-0.06750389,,
2023-07-06,311,-0.00850904,-0.05750681,,
2023-07-07,311,0.03477095,0.00245129,,
2023-07-10,311,0.06048416,0.03056529,,
2023-07-11,311,0.05656486,-0.01116445,,
2023-07-12,311,0.13400394,0.05692602,,
2023-07-13,311,-0.05317340,0.01732286,,
2023-07-14,311,0.02355401,0.06376024,,
2023-07-17,311,0.05908788,0.03738725,,
2023-07-18,311,0.00870363,-0.04288556,,
2023-07-19,311,-0.00352294,-0.05267019,,
2023-07-20,311,-0.01468333,-0.04564698,,
2023-07-21,311,-0.09375776,-0.11306758,,
2023-07-24,311,-0.09246515,-0.11454093,,
2023-07-25,311,0.05306202,-0.03252078,,
2023-07-26,311,-0.01597723,-0.01806554,,
2023-07-27,311,0.00439377,-0.03968276,,
2023-07-28,311,0.31749736,0.08626137,,
2023-07-31,311,0.12692379,0.08145531,,
2023-08-01,311,0.06748265,0.01538258,,
2023-08-02,311,-0.03207934,-0.14622217,,
2023-08-03,311,0.24697452,-0.02679602,,
2023-08-04,311,-0.03549998,0.03773610,,
2023-08-07,311,0.13896499,0.08908118,,
2023-08-08,311,0.07504862,0.01276648,,
2023-08-09,311,0.01951504,-0.00867111,,
2023-08-10,311,0.03673941,0.04777801,,
2023-08-11,311,-0.10010185,-0.11237430,,
2023-08-14,311,-0.13799931,-0.15001888,,
2023-08-15,312,-0.00384217,-0.13501736,,
2023-08-16,312,-0.13654015,-0.17641920,,
2023-08-17,312,-0.09286318,-0.17358631,,
2023-08-18,312,-0.15211469,-0.23748276,,
2023-08-21,312,-0.15738269,-0.23663275,,
2023-08-22,312,-0.03438573,0.00026450,,
2023-08-23,312,0.09751391,0.14313092,,
2023-08-24,312,0.07480165,0.13675894,,
2023-08-25,312,0.17098546,0.21803007,,
2023-08-28,312,0.14605692,0.17895412,,
2023-08-29,312,0.07498740,0.07402853,,
2023-08-30,312,0.02478339,-0.00020471,,
2023-08-31,312,-0.05388668,-0.08510890,,
2023-09-01,312,-0.06314118,-0.07512518,,
2023-09-04,312,0.05328224,0.04745852,,
2023-09-05,312,-0.03743500,-0.00317308,,
2023-09-06,312,-0.06492641,-0.12846346,,
2023-09-07,312,-0.05795489,-0.08755799,,
2023-09-08,312,-0.03453533,-0.05197698,,
2023-09-11,312,-0.10636531,-0.15325571,,
2023-09-12,312,-0.15621912,-0.17241923,,
2023-09-13,312,-0.14881220,-0.16487981,,
2023-09-14,312,-0.01918460,-0.03734666,,
2023-09-15,312,-0.01131613,-0.13661793,,
2023-09-18,312,0.00007097,-0.15662460,,
2023-09-19,312,0.06926325,-0.04453496,,
2023-09-20,312,0.17064316,0.10336088,,
2023-09-21,312,0.18736949,0.14010635,,
2023-09-22,312,0.11934326,0.18147134,,
2023-09-25,312,0.17491600,0.18588035,,
2023-09-26,312,0.16127594,0.18445081,,
2023-09-27,312,0.00906904,0.05870240,,
2023-09-28,312,-0.00236484,-0.03835584,,
2023-10-09,312,-0.03019931,-0.09168751,,
2023-10-10,312,-0.14423210,-0.17779721,,
2023-10-11,312,-0.25097093,-0.28568157,,
2023-10-12,312,-0.10120956,-0.19789435,,
2023-10-13,312,-0.15287236,-0.17901924,,
2023-10-16,312,-0.18620150,-0.25480667,,
2023-10-17,312,-0.03785925,-0.08478896,,
2023-10-18,312,-0.06978685,-0.03219747,,
2023-10-19,312,-0.17993040,-0.16940814,,
2023-10-20,312,-0.04124345,0.00955998,,
2023-10-23,312,0.11756508,0.19726313,,
2023-10-24,312,0.06474086,0.11562896,,
2023-10-25,312,0.13500109,0.17402634,,
2023-10-26,312,0.13152941,0.15300587,,
2023-10-27,312,0.02381619,0.13286415,,
2023-10-30,312,0.15959327,0.19143595,,
2023-10-31,312,0.22784821,0.22311564,,
2023-11-01,312,0.25986813,0.24917408,,
2023-11-02,312,0.28154907,0.30430467,,
2023-11-03,312,0.16370640,0.23705259,,
2023-11-06,312,0.18023494,0.13762719,,
2023-11-07,312,0.22449382,0.12336080,,
2023-11-08,312,0.12959086,0.11347481,,
2023-11-09,312,0.06596816,0.06084477,,
2023-11-10,312,0.17250635,0.11767753,,
2023-11-13,312,0.13056957,0.07013284,,
2023-11-14,312,0.05733686,-0.02255997,,
2023-11-15,312,-0.08271594,-0.16786202,,
2023-11-16,312,0.02646957,-0.07046562,,
2023-11-17,312,-0.16513516,-0.20811586,,
2023-11-20,312,-0.11750354,-0.17551212,,
2023-11-21,312,-0.04741241,-0.06471945,,
2023-11-22,312,0.04997541,0.05174570,,
2023-11-23,312,-0.03155027,-0.05696312,,
2023-11-24,312,0.05549574,0.02027969,,
2023-11-27,312,-0.02204428,-0.03676669,,
2023-11-28,312,-0.12333419,-0.13132609,,
2023-11-29,312,-0.07134241,-0.11284840,,
2023-11-30,312,-0.03493724,-0.08096016,,
2023-12-01,312,0.02547499,-0.03981147,,
2023-12-04,312,0.03053177,0.00661963,,
2023-12-05,312,0.02974701,-0.02378134,,
2023-12-06,312,-0.03734087,-0.07328382,,
2023-12-07,312,-0.03080779,-0.05541216,,
2023-12-08,312,-0.08671738,-0.11426346,,
2023-12-11,312,-0.21971670,-0.26150198,,
2023-12-12,312,-0.16411204,-0.21356279,,
2023-12-13,312,-0.14103928,-0.20448408,,
2023-12-14,312,-0.08426882,-0.19209625,,
2023-12-15,312,0.04234855,-0.23761188,,
2023-12-18,312,-0.02621925,-0.06005851,,
2023-12-19,312,0.12169258,-0.08763247,,
2023-12-20,312,-0.06725108,-0.11115414,,
2023-12-21,312,0.23145266,0.00026146,,
2023-12-22,312,0.17235448,0.14952416,,
2023-12-25,312,0.10651584,0.07070643,,
2023-12-26,312,0.06935143,0.06192841,,
2023-12-27,312,0.05509486,0.00965358,,
2023-12-28,312,-0.25071880,-0.25762884,,
2023-12-29,312,-0.13515108,-0.25052144,,
2024-01-02,312,-0.20739365,-0.24116507,,
2024-01-03,312,-0.11187290,-0.19620634,,
2024-01-04,312,0.09101146,0.01278302,,
2024-01-05,312,0.14090947,0.08632977,,
2024-01-08,312,0.22335621,0.17897378,,
2024-01-09,312,0.12726066,0.07130801,,
2024-01-10,312,-0.00231230,-0.08933522,,
2024-01-11,312,-0.14870537,-0.21955465,,
2024-01-12,312,-0.15604503,-0.25658669,,
2024-01-15,312,-0.32129613,-0.44847876,,
2024-01-16,312,-0.20911020,-0.34512746,,
2024-01-17,312,-0.26307334,-0.37326900,,
2024-01-18,312,-0.17496350,-0.25824854,,
2024-01-19,312,-0.26986131,-0.28519886,,
2024-01-22,312,-0.20817647,-0.20539725,,
2024-01-23,312,-0.19570135,-0.30694452,,
2024-01-24,312,-0.25332280,-0.36985950,,
2024-01-25,312,-0.19540466,-0.38855185,,
2024-01-26,312,-0.42628448,-0.44375924,,
2024-01-29,312,-0.44013490,-0.46352154,,
2024-01-30,312,-0.23593397,-0.28042660,,
2024-01-31,312,0.03693445,0.01850982,,
2024-02-01,312,0.05644559,0.13459807,,
2024-02-02,312,0.30139847,0.38743277,,
2024-02-05,312,0.50946129,0.60936646,,
2024-02-06,312,0.38224614,0.45002560,,
2024-02-07,312,0.22025396,0.21894514,,
2024-02-08,312,0.09487231,0.08675746,,
2024-02-19,312,0.03636383,0.29071570,,
2024-02-20,312,0.31038756,0.42648476,,
2024-02-21,312,0.13937958,0.29711961,,
2024-02-22,312,0.37914321,0.48055981,,
2024-02-23,312,0.27774010,0.40312858,,
2024-02-26,312,0.23699044,0.29570068,,
2024-02-27,312,0.13823051,-0.04906231,,
2024-02-28,312,0.17458285,0.20824820,,
2024-02-29,312,-0.08881175,-0.22797782,,
2024-03-01,312,-0.10619771,-0.18884464,,
2024-03-04,312,0.04290532,-0.11770483,,
2024-03-05,312,0.16184654,0.24021175,,
2024-03-06,312,0.29652759,0.28588147,,
2024-03-07,312,0.35854866,0.35675218,,
2024-03-08,312,0.16251735,0.30415125,,
2024-03-11,312,0.20343142,0.32345089,,
2024-03-12,312,0.09737258,0.06954510,,
2024-03-13,312,0.10911508,-0.07005169,,
2024-03-14,312,-0.05345534,-0.04860397,,
2024-03-15,312,-0.08794595,-0.22131611,,
2024-03-18,312,-0.25194797,-0.41765798,,
2024-03-19,312,-0.31123204,-0.37773765,,
2024-03-20,312,-0.39618711,-0.39250349,,
2024-03-21,312,-0.30969393,-0.31020571,,
2024-03-22,312,-0.19410476,-0.19453851,,
2024-03-25,312,0.02235202,-0.00220216,,
2024-03-26,312,0.07769264,-0.07695877,,
2024-03-27,313,0.09984806,0.06613217,,
2024-03-28,313,-0.15822906,-0.21574956,,
2024-03-29,313,-0.00554291,-0.04418971,,
2024-04-01,313,-0.15941475,-0.20740967,,
2024-04-02,313,-0.18133060,-0.20899826,,
2024-04-03,313,-0.10907939,-0.11646406,,
2024-04-08,313,-0.02114147,-0.07388300,,
2024-04-09,312,-0.30784535,-0.32979003,,
2024-04-10,312,-0.12724678,-0.15799659,,
2024-04-11,312,-0.23490358,-0.18786006,,
2024-04-12,312,-0.24486748,-0.30029829,,
2024-04-15,312,-0.09830406,-0.13817462,,
2024-04-16,312,0.09666850,0.04649272,,
2024-04-17,312,0.02144449,-0.05511270,,
2024-04-18,312,0.01915579,-0.06395847,,
2024-04-19,313,0.20515735,0.17994154,,
2024-04-22,313,0.32087089,0.31712513,,
2024-04-23,313,0.28929237,0.26351651,,
2024-04-24,313,0.31088512,0.32657998,,
2024-04-25,313,0.37362626,0.36866550,,
2024-04-26,313,0.08367499,0.19308769,,
2024-04-29,310,0.16846444,0.17975793,,
2024-04-30,313,0.13559007,0.16699744,,
2024-05-06,313,0.02431566,-0.04468742,,
2024-05-07,313,-0.01962246,-0.08047684,,
2024-05-08,313,0.01333818,-0.03373272,,
2024-05-09,313,-0.09842468,-0.15086670,,
2024-05-10,313,-0.07248300,-0.10436403,,
2024-05-13,313,0.04249249,-0.01288391,,
2024-05-14,313,-0.08877471,-0.18518427,,
2024-05-15,313,0.07240646,0.00902643,,
2024-05-16,313,-0.03765214,-0.14452916,,
2024-05-17,313,-0.07557079,-0.18409377,,
2024-05-20,313,-0.24624497,-0.27719349,,
2024-05-21,313,-0.19788913,-0.22618244,,
2024-05-22,313,-0.08280535,-0.23804307,,
2024-05-23,313,-0.10227588,-0.09787208,,
2024-05-24,313,-0.00050224,-0.00513932,,
2024-05-27,313,0.02140171,0.02049610,,
2024-05-28,313,0.10840792,0.15337878,,
2024-05-29,313,0.00347919,0.06731930,,
2024-05-30,313,-0.16190384,-0.14730221,,
2024-05-31,313,-0.25440772,-0.27161653,,
2024-06-03,313,-0.02687352,-0.03813435,,
2024-06-04,313,-0.06570914,-0.08822009,,
2024-06-05,313,-0.07724106,-0.10414946,,
2024-06-06,313,0.09888645,0.04301769,,
2024-06-07,313,0.17808825,0.17607976,,
2024-06-11,313,-0.00874347,0.00620917,,
2024-06-12,313,-0.12327632,-0.16688695,,
2024-06-13,313,-0.11648528,-0.30162248,,
2024-06-14,313,-0.19155118,-0.25483942,,
2024-06-17,313,-0.41832655,-0.45529753,,
2024-06-18,313,-0.46944067,-0.47240504,,
2024-06-19,313,-0.31186900,-0.31158205,,
2024-06-20,313,-0.30427092,-0.31523828,,
2024-06-21,313,-0.36049314,-0.37995578,,
2024-06-24,313,-0.16566625,-0.18641156,,
2024-06-25,313,-0.18633761,-0.20882931,,
2024-06-26,313,-0.29931545,-0.35424060,,
2024-06-27,313,-0.32747687,-0.34261590,,
2024-06-28,313,-0.20201793,-0.23104637,,
2024-07-01,313,-0.29329471,-0.36354085,,
2024-07-02,313,-0.13280626,-0.15826793,,
2024-07-03,313,-0.06350643,-0.09456501,,
2024-07-04,313,0.28640853,0.29129103,,
2024-07-05,313,0.15747416,0.09358645,,
2024-07-08,313,0.19425508,0.14788505,,
2024-07-09,313,0.19173761,0.16068962,,
2024-07-10,313,0.10945842,0.14255450,,
2024-07-11,313,0.01630051,-0.13625191,,
2024-07-12,313,0.07246883,-0.02643022,,
2024-07-15,313,0.15999020,0.16075627,,
2024-07-16,313,0.03453610,-0.05294417,,
2024-07-17,313,-0.11872665,-0.15304575,,
2024-07-18,313,0.05586715,-0.00478104,,
2024-07-19,312,0.08591144,0.03500447,,
2024-07-22,312,-0.12910087,-0.15092152,,
2024-07-23,312,-0.02332250,0.07527111,,
2024-07-24,312,0.40009722,0.41016669,,
2024-07-25,312,0.12417797,0.24518856,,
2024-07-26,312,0.03933993,0.07955438,,
2024-07-29,312,0.19724007,0.18781177,,
