date,n,ic,rankic,icir,rankicir
2024-01-02,5,0.44563809,0.30000000,,
2024-01-03,5,0.35294581,0.30000000,,
2024-01-04,5,0.65557317,0.80000000,,
SUMMARY,15,0.48471902,0.46666667,3.82874586,1.97989899
