date,n,topk,gross_return,benchmark_return,active_return,net_return,net_active_return,turnover,cost,max_industry_weight,size_exposure
2023-01-03,39,30,0.007924497764661642,0.00821538720174238,-0.0002908894370807387,0.007424497764661642,-0.0007908894370807391,0.5,0.0005,0.26666666666666666,-0.050671023837814744
2023-01-04,39,30,0.003491184690890544,0.0045588761782011855,-0.0010676914873106414,0.0033245180242238775,-0.001234358153977308,0.16666666666666666,0.00016666666666666666,0.26666666666666666,-0.10320668084412077
2023-01-05,39,30,0.004065245837756212,0.004385782371508789,-0.00032053653375257746,0.0038319125044228787,-0.0005538698670859107,0.23333333333333334,0.00023333333333333333,0.26666666666666666,-0.0727664827628196
2023-01-06,39,30,0.007844132750185081,0.008238818002468312,-0.0003946852522832313,0.0077107994168517475,-0.0005280185856165647,0.13333333333333333,0.00013333333333333334,0.2333333333333333,-0.04606726613645762
2023-01-09,39,30,0.005581615041236236,0.0056391256081426335,-5.751056690639789e-05,0.005448281707902902,-0.0001908439002397313,0.13333333333333333,0.00013333333333333334,0.2333333333333333,-0.07348851397441791
2023-01-10,39,30,0.001725592509272509,0.0024825048025390183,-0.0007569122932665094,0.0015922591759391755,-0.0008902456265998428,0.13333333333333333,0.00013333333333333334,0.2333333333333333,-0.11096558231679055
2023-01-11,39,30,0.0025529544732927683,0.0030209750025004603,-0.00046802052920769197,0.0024862878066261016,-0.0005346871958743587,0.06666666666666667,6.666666666666667e-05,0.26666666666666666,-0.14892496797381938
2023-01-12,39,30,0.0019902845518585586,0.0015182626552062092,0.00047202189665234936,0.0018902845518585585,0.0003720218966523493,0.1,0.0001,0.2333333333333333,0.044712539708786636
2023-01-13,39,30,0.0033911209608608003,0.002771655976465298,0.0006194649843955023,0.003257787627527467,0.0004861316510621689,0.13333333333333333,0.00013333333333333334,0.26666666666666666,-0.10078884619742823
2023-01-16,39,30,0.008277120588826837,0.007273301838545731,0.0010038187502811055,0.008143787255493504,0.000870485416947773,0.13333333333333333,0.00013333333333333334,0.2333333333333333,-0.11672243177217112
2023-01-17,39,30,0.011874001698052325,0.011127039250105263,0.0007469624479470617,0.011774001698052325,0.0006469624479470623,0.1,0.0001,0.2333333333333333,-0.19898811816847228
2023-01-18,39,30,0.0063137214696847525,0.005610473219510356,0.0007032482501743969,0.006147054803018086,0.0005365815835077304,0.16666666666666666,0.00016666666666666666,0.26666666666666666,-0.09825822446033072
2023-01-19,39,30,0.003047986755399977,0.0033449539224207495,-0.0002969671670207726,0.002947986755399977,-0.00039696716702077245,0.1,0.0001,0.26666666666666666,-0.11404661355014412
2023-01-20,39,30,0.0038103015547459396,0.00338186497902,0.0004284365757259395,0.003676968221412606,0.0002951032423926061,0.13333333333333333,0.00013333333333333334,0.2333333333333333,-0.1493121596324336
2023-01-26,39,30,-0.0021572592897948877,-0.0017462226470204227,-0.000411036642774465,-0.0022572592897948875,-0.0005110366427744648,0.1,0.0001,0.26666666666666666,-0.005626324735491295
2023-01-27,39,30,-0.0054832336527078545,-0.005910390558497943,0.0004271569057900885,-0.005583233652707855,0.0003271569057900882,0.1,0.0001,0.26666666666666666,-0.1349737673505942
2023-01-30,39,30,-0.007071244532810596,-0.006549137425594914,-0.0005221071072156816,-0.007271244532810596,-0.0007221071072156813,0.2,0.0002,0.2333333333333333,-0.006806571940050077
2023-01-31,39,30,-0.0043692785444022835,-0.004281146934395086,-8.81316100071975e-05,-0.004469278544402284,-0.00018813161000719777,0.1,0.0001,0.19999999999999998,-0.04740297883218503
2023-02-01,39,30,-0.006378660366428543,-0.00707967946584689,0.0007010190994183466,-0.0064786603664285436,0.0006010190994183463,0.1,0.0001,0.2333333333333333,-0.14194137700000198
2023-02-02,39,30,-0.003438355492061984,-0.0038998620864806655,0.00046150659441868136,-0.0035716888253953176,0.00032817326108534797,0.13333333333333333,0.00013333333333333334,0.26666666666666666,-0.06546218930093417
2023-02-03,39,30,-0.00355514110536616,-0.004652184686034537,0.0010970435806683765,-0.003621807772032827,0.0010303769140017098,0.06666666666666667,6.666666666666667e-05,0.26666666666666666,-0.03477413776643701
2023-02-06,39,30,0.00020152193006029996,-0.0004928090456735406,0.0006943309757338405,0.0001348552633936333,0.0006276643090671739,0.06666666666666667,6.666666666666667e-05,0.26666666666666666,-0.04548637219104279
2023-02-07,39,30,-0.00042562690774430314,-0.000602561078089008,0.00017693417034470482,-0.0005256269077443032,7.693417034470478e-05,0.1,0.0001,0.19999999999999998,-0.09893761592558903
2023-02-08,39,30,-0.0035361949850990317,-0.0036943767502973014,0.00015818176519826962,-0.0036028616517656984,9.151509853160293e-05,0.06666666666666667,6.666666666666667e-05,0.2333333333333333,-0.16375350052997817
2023-02-09,39,30,-0.005510652639911939,-0.005747561028081069,0.00023690838816912974,-0.005543985973245272,0.0002035750548357966,0.03333333333333333,3.3333333333333335e-05,0.19999999999999998,-0.2748742532330546
2023-02-10,39,30,-0.005152364235447536,-0.004572833311873195,-0.0005795309235743411,-0.005285697568780869,-0.0007128642569076745,0.13333333333333333,0.00013333333333333334,0.19999999999999998,-0.2089541112489428
2023-02-13,39,30,-0.002416049169088601,-0.0027209475456154405,0.0003048983765268393,-0.0025493825024219346,0.0001715650431935059,0.13333333333333333,0.00013333333333333334,0.26666666666666666,-0.08023917737855868
2023-02-14,39,30,-0.004638071383427667,-0.004594542566472263,-4.352881695540364e-05,-0.004738071383427667,-0.0001435288169554039,0.1,0.0001,0.2333333333333333,-0.16017839345506957
2023-02-15,39,30,-0.002636216304569061,-0.0036172560248847003,0.0009810397203156391,-0.0027695496379023946,0.0008477063869823057,0.13333333333333333,0.00013333333333333334,0.26666666666666666,-0.15755357325812724
2023-02-16,39,30,-0.005734964464982049,-0.00566843220964066,-6.653225534138888e-05,-0.005901631131648715,-0.0002331989220080554,0.16666666666666666,0.00016666666666666666,0.26666666666666666,-0.12903540702263427
