date,n,topk,gross_return,benchmark_return,active_return,net_return,net_active_return,turnover,cost,max_industry_weight,size_exposure
2023-01-03,39,30,0.006598078596783965,0.00821538720174238,-0.0016173086049584154,0.006098078596783966,-0.002117308604958415,0.5,0.0005,0.26666666666666666,-0.1324009976765943
2023-01-04,39,30,0.004106176869498624,0.0045588761782011855,-0.00045269930870256176,0.0039061768694986236,-0.0006526993087025619,0.2,0.0002,0.26666666666666666,-0.02747851372177834
2023-01-05,39,30,0.004770950589920892,0.004385782371508789,0.0003851682184121026,0.004570950589920892,0.00018516821841210295,0.2,0.0002,0.3333333333333333,0.2864374465286694
2023-01-06,39,30,0.008024148414601879,0.008238818002468312,-0.00021466958786643328,0.007857481747935212,-0.0003813362545331007,0.16666666666666666,0.00016666666666666666,0.3333333333333333,0.1902109446546163
2023-01-09,39,30,0.0048045553796377165,0.0056391256081426335,-0.000834570228504917,0.004571222046304383,-0.0010679035618382507,0.23333333333333334,0.00023333333333333333,0.3,0.17780059111933966
2023-01-10,39,30,0.001919482334830905,0.0024825048025390183,-0.0005630224677081132,0.0016861490014975717,-0.0007963558010414466,0.23333333333333334,0.00023333333333333333,0.26666666666666666,-0.004987918942791936
2023-01-11,39,30,0.0027058289416598616,0.0030209750025004603,-0.0003151460608405987,0.0024724956083265284,-0.0005484793941739319,0.23333333333333334,0.00023333333333333333,0.3,-0.10213463726729088
2023-01-12,39,30,0.001621830117862363,0.0015182626552062092,0.00010356746265615378,0.0013884967845290298,-0.00012976587067717944,0.23333333333333334,0.00023333333333333333,0.26666666666666666,0.11857776981150536
2023-01-13,39,30,0.002528352886784325,0.002771655976465298,-0.000243303089680973,0.0022950195534509918,-0.0004766364230143062,0.23333333333333334,0.00023333333333333333,0.26666666666666666,-0.21484117324924767
2023-01-16,39,30,0.007753414016923284,0.007273301838545731,0.00048011217837755273,0.007586747350256618,0.0003134455117108862,0.16666666666666666,0.00016666666666666666,0.26666666666666666,0.08668198962995177
