date,n_available,gross_return,turnover,cost,net_return
2025-01-03,20,-0.02222678929303864,1.0,0.001,-0.02322678929303864
2025-01-06,20,0.0003566530695741588,0.0,0.0,0.0003566530695741588
2025-01-07,20,0.023289878962736255,0.0,0.0,0.023289878962736255
2025-01-08,20,-0.009597870745142628,0.0,0.0,-0.009597870745142628
2025-01-09,20,0.005601278223446943,0.0,0.0,0.005601278223446943
2025-01-10,20,-0.023111680936457164,0.0,0.0,-0.023111680936457164
2025-01-13,20,-0.002472753577479242,0.0,0.0,-0.002472753577479242
2025-01-14,20,0.04700181870081073,0.0,0.0,0.04700181870081073
2025-01-15,20,-0.006248434236917844,0.0,0.0,-0.006248434236917844
2025-01-16,20,0.00294218771936785,0.0,0.0,0.00294218771936785
2025-01-17,20,0.009885996555303167,0.0,0.0,0.009885996555303167
2025-01-20,20,0.0026081957783775866,0.0,0.0,0.0026081957783775866
2025-01-21,20,0.015120930749582895,0.0,0.0,0.015120930749582895
2025-01-22,20,-0.005769174232058766,0.0,0.0,-0.005769174232058766
2025-01-23,20,-0.008820177473207718,0.0,0.0,-0.008820177473207718
2025-01-24,20,0.019816869432009075,0.0,0.0,0.019816869432009075
2025-01-27,20,-0.02433848672625567,0.0,0.0,-0.02433848672625567
2025-02-05,20,-0.0005016771104578932,0.0,0.0,-0.0005016771104578932
2025-02-06,20,0.033291124318244186,0.0,0.0,0.033291124318244186
2025-02-07,20,0.013462983111407745,0.0,0.0,0.013462983111407745
2025-02-10,20,0.0031459925462805904,0.0,0.0,0.0031459925462805904
2025-02-11,20,-0.008947283611556283,0.0,0.0,-0.008947283611556283
2025-02-12,20,0.01449170217530139,0.0,0.0,0.01449170217530139
2025-02-13,20,-0.014400101536220405,0.0,0.0,-0.014400101536220405
2025-02-14,20,0.0059602221955267765,0.0,0.0,0.0059602221955267765
2025-02-17,20,0.001630206625896563,0.0,0.0,0.001630206625896563
2025-02-18,20,-0.01732425932805316,0.0,0.0,-0.01732425932805316
2025-02-19,20,0.02324239994939344,0.0,0.0,0.02324239994939344
2025-02-20,20,0.017216704470343562,0.0,0.0,0.017216704470343562
2025-02-21,20,0.01553755843091682,0.0,0.0,0.01553755843091682
2025-02-24,20,0.021330386625836157,0.0,0.0,0.021330386625836157
2025-02-25,20,0.0024559572562631803,0.0,0.0,0.0024559572562631803
2025-02-26,20,0.027559598397239003,0.0,0.0,0.027559598397239003
2025-02-27,20,0.00020709423275017125,0.0,0.0,0.00020709423275017125
2025-02-28,20,-0.024512164053332057,0.0,0.0,-0.024512164053332057
2025-03-03,20,-0.009053016686673448,0.0,0.0,-0.009053016686673448
2025-03-04,20,0.008646439203479878,0.0,0.0,0.008646439203479878
2025-03-05,20,0.00013956835010992542,0.0,0.0,0.00013956835010992542
2025-03-06,20,0.017562292221618342,0.0,0.0,0.017562292221618342
2025-03-07,20,0.010585755355853682,0.0,0.0,0.010585755355853682
2025-03-10,20,0.009834493884189588,0.0,0.0,0.009834493884189588
2025-03-11,20,0.0018335148348450792,0.0,0.0,0.0018335148348450792
2025-03-12,20,0.0037853622348079487,0.0,0.0,0.0037853622348079487
2025-03-13,20,-0.025910957560673957,0.0,0.0,-0.025910957560673957
2025-03-14,20,0.02391861626106745,0.0,0.0,0.02391861626106745
2025-03-17,20,0.0064089353767747045,0.0,0.0,0.0064089353767747045
2025-03-18,20,0.005432131497313797,0.0,0.0,0.005432131497313797
2025-03-19,20,-0.0084071387892533,0.0,0.0,-0.0084071387892533
2025-03-20,20,-0.012616968158769764,0.0,0.0,-0.012616968158769764
2025-03-21,20,-0.021212544069532657,0.0,0.0,-0.021212544069532657
2025-03-24,20,-0.0059854696531246475,0.0,0.0,-0.0059854696531246475
2025-03-25,20,-0.015674699828877085,0.0,0.0,-0.015674699828877085
2025-03-26,20,-5.313153964779382e-05,0.0,0.0,-5.313153964779382e-05
2025-03-27,20,-0.002141889476730102,0.0,0.0,-0.002141889476730102
2025-03-28,20,-0.011494940822291033,0.0,0.0,-0.011494940822291033
2025-03-31,20,0.0029078948350671372,0.0,0.0,0.0029078948350671372
2025-04-01,20,0.0002002987355229191,0.0,0.0,0.0002002987355229191
2025-04-02,20,-0.00019300705176897304,0.0,0.0,-0.00019300705176897304
2025-04-03,20,-0.018556215146951698,0.0,0.0,-0.018556215146951698
2025-04-07,20,-0.12069790793172963,0.0,0.0,-0.12069790793172963
2025-04-08,20,0.002598377142964514,0.0,0.0,0.002598377142964514
2025-04-09,20,0.022073357026074165,0.0,0.0,0.022073357026074165
2025-04-10,20,0.021576766121544688,0.0,0.0,0.021576766121544688
2025-04-11,20,0.02389497761041732,0.0,0.0,0.02389497761041732
2025-04-14,20,0.014302892306084364,0.0,0.0,0.014302892306084364
2025-04-15,20,-0.0022856125843107367,0.0,0.0,-0.0022856125843107367
2025-04-16,20,-0.010601800859026355,0.0,0.0,-0.010601800859026355
2025-04-17,20,0.0036515002916997163,0.0,0.0,0.0036515002916997163
2025-04-18,20,0.0008992806994713998,0.0,0.0,0.0008992806994713998
2025-04-21,20,0.02228816660063927,0.0,0.0,0.02228816660063927
2025-04-22,20,-0.005002347808005953,0.0,0.0,-0.005002347808005953
2025-04-23,20,0.013302358846422785,0.0,0.0,0.013302358846422785
2025-04-24,20,-0.014771882023832427,0.0,0.0,-0.014771882023832427
2025-04-25,20,0.008918024696595,0.0,0.0,0.008918024696595
2025-04-28,20,-0.013929663644052159,0.0,0.0,-0.013929663644052159
