date,n_available,gross_return,turnover,cost,net_return
2025-01-03,46,-0.020986714725663682,1.0,0.001,-0.021986714725663683
2025-01-06,46,-0.0023324562785106005,0.0,0.0,-0.0023324562785106005
2025-01-07,46,0.024362191221598106,0.0,0.0,0.024362191221598106
2025-01-08,46,-0.008541098881430884,0.0,0.0,-0.008541098881430884
2025-01-09,46,0.009057403445060465,0.0,0.0,0.009057403445060465
2025-01-10,46,-0.019050459786787547,0.0,0.0,-0.019050459786787547
2025-01-13,46,0.002059084241280354,0.0,0.0,0.002059084241280354
2025-01-14,46,0.04659110491992826,0.0,0.0,0.04659110491992826
2025-01-15,46,-0.007890681317822518,0.0,0.0,-0.007890681317822518
2025-01-16,46,0.0022436030084465137,0.0,0.0,0.0022436030084465137
2025-01-17,46,0.009198403924022991,0.0,0.0,0.009198403924022991
2025-01-20,46,0.0042769884923568756,0.0,0.0,0.0042769884923568756
2025-01-21,46,0.008863940744894092,0.0,0.0,0.008863940744894092
2025-01-22,46,-0.004194881623718874,0.0,0.0,-0.004194881623718874
2025-01-23,46,-0.009187925805390813,0.0,0.0,-0.009187925805390813
2025-01-24,46,0.016156458278489088,0.0,0.0,0.016156458278489088
2025-01-27,46,-0.01800125575059036,0.0,0.0,-0.01800125575059036
2025-02-05,46,0.001199012939539559,0.0,0.0,0.001199012939539559
2025-02-06,45,0.030959454964827895,0.021739130434782643,2.1739130434782644e-05,0.03093771583439311
2025-02-07,45,0.009816780793300447,0.0,0.0,0.009816780793300447
2025-02-10,45,0.008195359931073383,0.0,0.0,0.008195359931073383
2025-02-11,46,-0.0050715238837574835,0.021739130434782643,2.1739130434782644e-05,-0.005093263014192266
2025-02-12,46,0.013148867320723649,0.0,0.0,0.013148867320723649
2025-02-13,46,-0.014292844444697831,0.0,0.0,-0.014292844444697831
2025-02-14,46,0.00279255157966857,0.0,0.0,0.00279255157966857
2025-02-17,46,0.0007901897457736787,0.0,0.0,0.0007901897457736787
2025-02-18,46,-0.016460221043628546,0.0,0.0,-0.016460221043628546
2025-02-19,46,0.02731498970167878,0.0,0.0,0.02731498970167878
2025-02-20,46,0.011973236282104529,0.0,0.0,0.011973236282104529
2025-02-21,46,0.014984347785629248,0.0,0.0,0.014984347785629248
2025-02-24,46,0.010344905888408678,0.0,0.0,0.010344905888408678
2025-02-25,46,-0.0040856877054949595,0.0,0.0,-0.0040856877054949595
2025-02-26,46,0.01942991426253174,0.0,0.0,0.01942991426253174
2025-02-27,46,-0.0024422447801881065,0.0,0.0,-0.0024422447801881065
2025-02-28,46,-0.03065117040841668,0.0,0.0,-0.03065117040841668
2025-03-03,46,0.003358971059357529,0.0,0.0,0.003358971059357529
2025-03-04,46,0.01171253477255486,0.0,0.0,0.01171253477255486
2025-03-05,46,0.0009205644066283281,0.0,0.0,0.0009205644066283281
2025-03-06,46,0.015433352220559285,0.0,0.0,0.015433352220559285
2025-03-07,46,0.003909896040016123,0.0,0.0,0.003909896040016123
2025-03-10,46,0.007423351002728084,0.0,0.0,0.007423351002728084
2025-03-11,46,0.008788684426354085,0.0,0.0,0.008788684426354085
2025-03-12,47,0.0029764846880942983,0.021276595744680847,2.127659574468085e-05,0.0029552080923496175
2025-03-13,47,-0.02278070891338927,0.0,0.0,-0.02278070891338927
2025-03-14,47,0.018470448130983027,0.0,0.0,0.018470448130983027
2025-03-17,47,-0.0006111238396144614,0.0,0.0,-0.0006111238396144614
2025-03-18,47,0.007169399594142909,0.0,0.0,0.007169399594142909
2025-03-19,47,-0.010195323147960024,0.0,0.0,-0.010195323147960024
2025-03-20,47,-0.007890745617010256,0.0,0.0,-0.007890745617010256
2025-03-21,47,-0.019514463003267844,0.0,0.0,-0.019514463003267844
