date,chosen_adapter_weight,reason,lagged_proxy_ic,lagged_adapter_ic,market_ret_20,market_vol_20,history_days
2025-04-07,0.000000,cold_start,0.00000000,0.00000000,nan,nan,0
2025-04-08,0.000000,cold_start,0.00000000,0.00000000,-0.07045515,0.00000000,0
2025-04-09,0.000000,cold_start,0.00000000,0.00000000,-0.02668608,0.04376907,0
2025-04-10,0.000000,cold_start,0.00000000,0.00000000,-0.01450051,0.03967532,0
2025-04-11,0.000000,cold_start,0.00000000,0.00000000,-0.00759877,0.03637994,0
2025-04-14,0.000000,cold_start,0.00000000,0.00000000,-0.00525432,0.03287531,0
2025-04-15,0.000000,cold_start,0.00000000,0.00000000,-0.00399530,0.03014267,1
2025-04-16,0.000000,cold_start,0.00000000,0.00000000,-0.00334502,0.02795211,2
2025-04-17,0.000000,cold_start,0.00000000,0.00000000,-0.00254186,0.02623301,3
2025-04-18,0.000000,cold_start,0.00000000,0.00000000,-0.00227705,0.02474406,4
2025-04-21,0.000000,cold_start,0.00000000,0.00000000,-0.00204137,0.02348492,5
2025-04-22,0.000000,cold_start,0.00000000,0.00000000,-0.00155800,0.02244410,6
2025-04-23,0.000000,cold_start,0.00000000,0.00000000,-0.00144861,0.02149166,7
2025-04-24,0.000000,cold_start,0.00000000,0.00000000,-0.00127761,0.02065701,8
2025-04-25,0.000000,cold_start,0.00000000,0.00000000,-0.00123398,0.01990622,9
2025-04-28,0.000000,cold_start,0.00000000,0.00000000,-0.00110527,0.01923726,10
2025-04-29,0.000000,cold_start,0.00000000,0.00000000,-0.00112490,0.01862655,11
2025-04-30,0.000000,cold_start,0.00000000,0.00000000,-0.00116049,0.01807097,12
2025-05-06,0.000000,cold_start,0.00000000,0.00000000,-0.00116233,0.01756183,13
2025-05-07,0.000000,cold_start,0.00000000,0.00000000,-0.00057113,0.01727648,14
2025-05-08,0.000000,cold_start,0.00000000,0.00000000,-0.00023951,0.01690096,15
2025-05-09,0.000000,cold_start,0.00000000,0.00000000,0.00356080,0.00513466,16
2025-05-12,0.000000,cold_start,0.00000000,0.00000000,0.00261919,0.00421253,17
2025-05-13,0.000000,cold_start,0.00000000,0.00000000,0.00270354,0.00437082,18
2025-05-14,0.000000,cold_start,0.00000000,0.00000000,0.00212082,0.00366494,19
2025-05-15,0.400000,exposure_penalty,-0.12967816,-0.10543089,0.00251718,0.00424314,20
2025-05-16,0.400000,exposure_penalty,-0.11852223,-0.09341093,0.00194556,0.00494580,21
2025-05-19,0.400000,exposure_penalty,-0.11135569,-0.08751190,0.00168592,0.00514421,22
2025-05-20,0.400000,exposure_penalty,-0.10403526,-0.08120214,0.00137840,0.00523471,23
2025-05-21,0.400000,exposure_penalty,-0.09603430,-0.07747023,0.00165747,0.00529377,24
2025-05-22,0.400000,exposure_penalty,-0.08932786,-0.07355273,0.00188706,0.00531988,25
2025-05-23,0.400000,exposure_penalty,-0.08172885,-0.07093800,0.00169116,0.00533725,26
2025-05-26,0.400000,exposure_penalty,-0.07575829,-0.06667565,0.00129985,0.00573682,27
2025-05-27,0.400000,exposure_penalty,-0.07146375,-0.06652078,0.00097563,0.00593709,28
2025-05-28,0.400000,exposure_penalty,-0.06716158,-0.06155860,0.00074072,0.00608845,29
2025-05-29,0.400000,exposure_penalty,-0.06285148,-0.05670293,0.00066473,0.00609800,30
2025-05-30,0.400000,exposure_penalty,-0.06323905,-0.06004352,0.00102847,0.00617927,31
2025-06-03,0.400000,exposure_penalty,-0.06210207,-0.06110481,0.00087567,0.00628251,32
2025-06-04,0.400000,exposure_penalty,-0.05874268,-0.05951918,0.00108874,0.00628098,33
2025-06-05,0.400000,exposure_penalty,-0.05333649,-0.06065521,0.00080237,0.00598870,34
2025-06-06,0.000000,base,-0.04757979,-0.06630924,0.00061320,0.00587833,35
