method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate
regime_gated_2023_2024,raw,5,20,5.00,419,0.27609670,0.13792868,2.00173528,-0.11889369,0.49986604,0.21375537,2.47651287,0.15787589,0.51312649
regime_gated_2023_2024,industry_size_neutral,5,20,5.00,419,0.19931341,0.13437309,1.48328363,-0.18680258,0.35282386,0.14169231,2.05729671,0.15859189,0.48687351
regime_gated_2023_2024,raw,5,20,10.00,419,0.25098997,0.13789992,1.82008780,-0.12015505,0.45112152,0.18987315,2.20148428,0.15787589,0.50835322
regime_gated_2023_2024,industry_size_neutral,5,20,10.00,419,0.17560467,0.13435102,1.30705873,-0.19725710,0.30864953,0.11911857,1.73053066,0.15859189,0.48448687
regime_gated_2023_2024,raw,5,20,20.00,419,0.20224136,0.13785243,1.46708589,-0.12429370,0.35831974,0.14350226,1.66605045,0.15787589,0.50119332
regime_gated_2023_2024,industry_size_neutral,5,20,20.00,419,0.12957722,0.13431615,0.96471811,-0.21776776,0.22456891,0.07529481,1.09483676,0.15859189,0.47732697
regime_gated_2023_2024,raw,5,30,5.00,419,0.28539391,0.13156753,2.16918196,-0.10445055,0.51807902,0.22308371,3.18122374,0.14725537,0.51073986
regime_gated_2023_2024,industry_size_neutral,5,30,5.00,419,0.19507158,0.12575688,1.55118023,-0.16863173,0.34487755,0.13736736,2.49978765,0.15489260,0.48687351
regime_gated_2023_2024,raw,5,30,10.00,419,0.26178577,0.13156954,1.98971408,-0.10696293,0.47200281,0.20061699,2.86111335,0.14725537,0.50357995
regime_gated_2023_2024,industry_size_neutral,5,30,10.00,419,0.17199527,0.12571190,1.36817014,-0.17840867,0.30197581,0.11539948,2.10260920,0.15489260,0.47971360
regime_gated_2023_2024,raw,5,30,20.00,419,0.21585616,0.13158108,1.64048026,-0.11196728,0.38399174,0.15690816,2.23772997,0.14725537,0.50119332
regime_gated_2023_2024,industry_size_neutral,5,30,20.00,419,0.12716461,0.12562978,1.01221709,-0.19762159,0.22022320,0.07272251,1.32786653,0.15489260,0.47732697
regime_gated_2023_2024,raw,5,50,5.00,419,0.27242533,0.12151155,2.24197057,-0.08523396,0.49269806,0.21038056,3.83998435,0.12983294,0.52267303
regime_gated_2023_2024,industry_size_neutral,5,50,5.00,419,0.19566555,0.11995734,1.63112612,-0.14486317,0.34598913,0.13788109,3.35532202,0.13608592,0.49164678
regime_gated_2023_2024,raw,5,50,10.00,419,0.25180034,0.12149201,2.07256704,-0.08709381,0.45268482,0.19075664,3.48330817,0.12983294,0.51551313
regime_gated_2023_2024,industry_size_neutral,5,50,10.00,419,0.17535328,0.11994387,1.46196115,-0.15431301,0.30818429,0.11854544,2.88471585,0.13608592,0.48687351
regime_gated_2023_2024,raw,5,50,20.00,419,0.21154332,0.12145775,1.74170300,-0.09723465,0.37583875,0.15245380,2.78575335,0.12983294,0.51073986
regime_gated_2023_2024,industry_size_neutral,5,50,20.00,419,0.13575330,0.11992301,1.13200377,-0.17290288,0.23572158,0.08084968,1.96646675,0.13608592,0.48210024
