dataset_id,method,lookback,horizon,train_examples,valid_examples,test_examples,mae,mse,rmse,mape,smape
ett_h1,naive_last_value,96,96,10336,3446,3446,2.86788421,13.61956816,3.69046991,38786709222.67884064,0.43062433
ett_h1,dlinear_style_ridge,96,96,10336,3446,3446,2.47685078,9.90734919,3.14759419,34467389383.78391266,0.36804358
ett_h2,naive_last_value,96,96,10336,3446,3446,6.12553787,63.67055364,7.97938304,0.37845119,0.27948282
ett_h2,dlinear_style_ridge,96,96,10336,3446,3446,5.46844843,46.96919634,6.85340764,0.39861913,0.23841993
ett_m1,naive_last_value,96,96,41692,13898,13898,1.71987329,5.05256104,2.24779026,21071952759.30794907,0.30432102
ett_m1,dlinear_style_ridge,96,96,41692,13898,13898,1.66298640,4.94733568,2.22426070,27029681640.12055588,0.26993359
ett_m2,naive_last_value,96,96,41692,13898,13898,3.51623655,22.69703835,4.76414088,0.24095043,0.16701821
ett_m2,dlinear_style_ridge,96,96,41692,13898,13898,3.47747185,21.52742327,4.63976543,0.26851386,0.15732708
