date,n,topk,gross_return,benchmark_return,active_return,net_return,net_active_return,turnover,cost,max_industry_weight,size_exposure
2023-01-03,70,5,0.00548838955878705,0.0021274322071788906,0.0033609573516081596,0.004988389558787051,0.00286095735160816,0.5,0.0005,0.2,0.8009340692022917
2023-01-04,70,5,0.0053982779465078365,0.0020433175331675676,0.003354960413340269,0.004798277946507837,0.002754960413340269,0.6000000000000001,0.0006000000000000001,0.4,0.4653465205866034
2023-01-05,70,5,0.00884721606966105,0.0006696081002318308,0.008177607969429219,0.00844721606966105,0.007777607969429219,0.4,0.0004,0.2,0.05671058397369322
2023-01-06,70,5,0.008852369455035775,0.0025837080767830804,0.006268661378252695,0.008852369455035775,0.006268661378252695,0.0,0.0,0.2,0.06242596756971608
2023-01-09,70,5,0.009477225331837631,0.004626266607835525,0.0048509587240021055,0.00927722533183763,0.004650958724002105,0.2,0.0002,0.2,-0.23030482910560224
2023-01-10,70,5,0.0075976631129427204,0.004436995328535533,0.0031606677844071875,0.007397663112942721,0.002960667784407188,0.2,0.0002,0.2,-0.5082252931882856
2023-01-11,70,5,0.008526562628893782,0.004653170266326256,0.003873392362567526,0.008126562628893783,0.003473392362567527,0.4,0.0004,0.2,-0.2596123926509417
2023-01-12,70,5,0.006202335533045389,0.005715527580966308,0.00048680795207908106,0.006002335533045389,0.0002868079520790814,0.2,0.0002,0.2,-0.09236145702675103
2023-01-13,70,5,0.00943632283106888,0.005869294701199091,0.00356702812986979,0.00923632283106888,0.0033670281298697896,0.2,0.0002,0.2,0.09276984918042785
2023-01-16,70,5,0.004071466378610796,0.0029687276694826863,0.0011027387091281093,0.004071466378610796,0.0011027387091281093,0.0,0.0,0.2,0.10596446102611878
2023-01-17,70,5,0.002327451966814942,0.002522834288451436,-0.00019538232163649437,0.002327451966814942,-0.00019538232163649437,0.0,0.0,0.2,0.10928001258325182
2023-01-18,70,5,0.003883468775458314,0.004074999794845657,-0.00019153101938734329,0.003883468775458314,-0.00019153101938734329,0.0,0.0,0.2,0.11466317900589829
2023-01-19,70,5,0.002736642170746091,0.0029151972308353474,-0.00017855506008925643,0.002536642170746091,-0.0003785550600892565,0.2,0.0002,0.2,-0.17553096707329807
2023-01-20,70,5,-0.0010020386094616242,-0.0007762685782311191,-0.00022577003123050508,-0.0012020386094616243,-0.00042577003123050517,0.2,0.0002,0.2,0.2521448982202905
