candidate,candidate_label,market,topk,variant,cost_bps,days,candidate_ann_return,menu_ann_return,ann_diff,candidate_sharpe,menu_sharpe,sharpe_diff,candidate_mdd,menu_mdd,mdd_diff,ann_win,sharpe_win,mdd_win
case_lingxi_context_router,Conservative context router,hk_large_cap,10,industry_size_neutral,0.00,842,0.31446398,0.32939568,-0.01493170,2.37613203,2.52630591,-0.15017387,-0.16902352,-0.16523505,-0.00378847,False,False,False
case_lingxi_context_router,Conservative context router,hk_large_cap,10,industry_size_neutral,5.00,842,0.29038701,0.30453003,-0.01414302,2.22016647,2.36220022,-0.14203375,-0.18266743,-0.17594496,-0.00672246,False,False,False
case_lingxi_context_router,Conservative context router,hk_large_cap,10,industry_size_neutral,10.00,842,0.26674866,0.28012696,-0.01337831,2.06400110,2.19804514,-0.13404405,-0.19608860,-0.18884190,-0.00724670,False,False,False
case_lingxi_context_router,Conservative context router,hk_large_cap,10,industry_size_neutral,20.00,842,0.22075613,0.23267450,-0.01191837,1.75114340,1.86966877,-0.11852537,-0.22227717,-0.21591030,-0.00636687,False,False,False
case_lingxi_context_router,Conservative context router,hk_large_cap,10,industry_size_neutral,50.00,842,0.09250757,0.10056066,-0.00805309,0.80967407,0.88547900,-0.07580493,-0.29586157,-0.29184446,-0.00401711,False,False,False
case_lingxi_context_router,Conservative context router,hk_large_cap,5,raw,0.00,842,0.53667533,0.53037285,0.00630248,3.17182218,3.28022605,-0.10840386,-0.14083583,-0.13546740,-0.00536843,True,False,False
case_lingxi_context_router,Conservative context router,hk_large_cap,5,raw,5.00,842,0.50503488,0.49465674,0.01037814,3.02236881,3.10269688,-0.08032807,-0.14255906,-0.13962706,-0.00293200,True,False,False
case_lingxi_context_router,Conservative context router,hk_large_cap,5,raw,10.00,842,0.47404149,0.45976890,0.01427259,2.87262419,2.92481026,-0.05218608,-0.14427900,-0.14376752,-0.00051148,True,False,False
case_lingxi_context_router,Conservative context router,hk_large_cap,5,raw,20.00,842,0.41394359,0.39240212,0.02154147,2.57238037,2.56813425,0.00424612,-0.14770906,-0.16496547,0.01725641,True,True,True
case_lingxi_context_router,Conservative context router,hk_large_cap,5,raw,50.00,842,0.24786581,0.20828288,0.03958293,1.66778565,1.49397505,0.17381060,-0.21692323,-0.24929467,0.03237144,True,True,True
case_lingxi_context_router,Conservative context router,hk_large_cap,5,industry_size_neutral,0.00,842,0.36481796,0.40324213,-0.03842417,2.44486825,2.69486866,-0.25000042,-0.18229361,-0.18948382,0.00719021,False,False,True
case_lingxi_context_router,Conservative context router,hk_large_cap,5,industry_size_neutral,5.00,842,0.33123621,0.36757577,-0.03633957,2.25458536,2.49557050,-0.24098515,-0.19100715,-0.20068199,0.00967484,False,False,True
case_lingxi_context_router,Conservative context router,hk_large_cap,5,industry_size_neutral,10.00,842,0.29847562,0.33281052,-0.03433490,2.06403588,2.29594005,-0.23190416,-0.19962920,-0.21172713,0.01209792,False,False,True
case_lingxi_context_router,Conservative context router,hk_large_cap,5,industry_size_neutral,20.00,842,0.23533861,0.26589339,-0.03055477,1.68233534,1.89588998,-0.21355464,-0.23547772,-0.24533950,0.00986178,False,False,True
case_lingxi_context_router,Conservative context router,hk_large_cap,5,industry_size_neutral,50.00,842,0.06365672,0.08452796,-0.02087124,0.53600727,0.69319994,-0.15719268,-0.33696998,-0.35134295,0.01437298,False,False,True
case_lingxi_context_router,Conservative context router,crypto_major,10,raw,0.00,1261,0.79469281,0.78550763,0.00918518,2.22056753,2.20715483,0.01341269,-0.57848488,-0.58682191,0.00833703,True,True,True
case_lingxi_context_router,Conservative context router,crypto_major,10,raw,5.00,1261,0.76477529,0.75559976,0.00917553,2.16064401,2.14674991,0.01389410,-0.58613924,-0.59414007,0.00800083,True,True,True
case_lingxi_context_router,Conservative context router,crypto_major,10,raw,10.00,1261,0.73535358,0.72618994,0.00916364,2.10070525,2.08633238,0.01437287,-0.59381217,-0.60148317,0.00767100,True,True,True
case_lingxi_context_router,Conservative context router,crypto_major,10,raw,20.00,1261,0.67796499,0.66883156,0.00913343,1.98078720,1.96546474,0.01532246,-0.60873621,-0.61577537,0.00703916,True,True,True
case_lingxi_context_router,Conservative context router,crypto_major,10,raw,50.00,1261,0.51687589,0.50787933,0.00899656,1.62080227,1.60269519,0.01810708,-0.65907637,-0.65962608,0.00054971,True,True,True
case_lingxi_context_router,Conservative context router,crypto_major,10,industry_size_neutral,0.00,1261,0.43278629,0.54694103,-0.11415474,1.49009472,1.73542093,-0.24532620,-0.56912914,-0.56860110,-0.00052804,False,False,False
case_lingxi_context_router,Conservative context router,crypto_major,10,industry_size_neutral,5.00,1261,0.39831084,0.51157840,-0.11326756,1.39800726,1.65048947,-0.25248220,-0.58026504,-0.57858397,-0.00168107,False,False,False
case_lingxi_context_router,Conservative context router,crypto_major,10,industry_size_neutral,10.00,1261,0.36466069,0.47701994,-0.11235925,1.30589420,1.56554083,-0.25964663,-0.60260598,-0.59871121,-0.00389477,False,False,False
case_lingxi_context_router,Conservative context router,crypto_major,10,industry_size_neutral,20.00,1261,0.29975812,0.41024314,-0.11048503,1.12160326,1.39560207,-0.27399881,-0.64396457,-0.63845555,-0.00550903,False,False,False
case_lingxi_context_router,Conservative context router,crypto_major,10,industry_size_neutral,50.00,1261,0.12290658,0.22740286,-0.10449628,0.56842791,0.88563464,-0.31720672,-0.74400382,-0.73563444,-0.00836938,False,False,False
case_lingxi_context_router,Conservative context router,crypto_major,5,raw,0.00,1261,1.29757034,1.40967315,-0.11210282,2.44665686,2.53380750,-0.08715064,-0.55249503,-0.56297173,0.01047669,False,False,True
case_lingxi_context_router,Conservative context router,crypto_major,5,raw,5.00,1261,1.24093776,1.34897966,-0.10804190,2.37827729,2.46526024,-0.08698295,-0.56528167,-0.57622531,0.01094364,False,False,True
case_lingxi_context_router,Conservative context router,crypto_major,5,raw,10.00,1261,1.18569231,1.28980523,-0.10411292,2.30987553,2.39668885,-0.08681331,-0.57770493,-0.58907906,0.01137414,False,False,True
case_lingxi_context_router,Conservative context router,crypto_major,5,raw,20.00,1261,1.07922855,1.17586336,-0.09663480,2.17301505,2.25948337,-0.08646832,-0.60150214,-0.61363472,0.01213259,False,False,True
case_lingxi_context_router,Conservative context router,crypto_major,5,raw,50.00,1261,0.78978051,0.86675286,-0.07697235,1.76215082,1.84754022,-0.08538940,-0.66518349,-0.68241888,0.01723539,False,False,True
case_lingxi_context_router,Conservative context router,crypto_major,5,industry_size_neutral,0.00,1261,0.80833441,0.87456611,-0.06623170,1.87618827,1.92500102,-0.04881275,-0.61868976,-0.59647697,-0.02221279,False,False,False
