market,method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate,avg_max_industry_weight,avg_size_exposure,yearly_ann_returns,daily_source
cn_a_share,fintsb_ts,industry_size_neutral,5,5,10.00,727,0.16046660,0.18136152,0.88478852,-0.27760476,0.53624346,0.02944846,0.22435660,0.29917469,0.47730399,0.30591472,-0.26165521,2023:0.0798;2024:-0.0005;2025:0.4467,experiments\lingxi_topk_comparison\cn_a_share\fintsb_ts_h5_top5_industry_size_neutral_daily.csv
us_large_cap,lingxi,raw,5,30,10.00,752,0.32608218,0.06227627,5.23605824,-0.14856954,1.32148432,0.02991839,1.92059867,0.06409574,0.64228723,0.27983156,0.02095944,2023:0.4151;2024:0.2960;2025:0.2718,experiments\lingxi_topk_comparison\us_large_cap\lingxi_h5_top30_raw_daily.csv
us_large_cap,lingxi,industry_size_neutral,5,30,10.00,752,0.31264383,0.06052474,5.16555426,-0.14489164,1.25198429,0.01939822,1.48333121,0.07039007,0.64228723,0.25283688,-0.04469689,2023:0.3835;2024:0.2750;2025:0.2824,experiments\lingxi_topk_comparison\us_large_cap\lingxi_h5_top30_industry_size_neutral_daily.csv
us_large_cap,lingxi,raw,5,20,10.00,752,0.39452653,0.06934231,5.68954959,-0.14368553,1.69766400,0.08329735,2.83563111,0.11881649,0.63962766,0.32453457,0.11475485,2023:0.5455;2024:0.3286;2025:0.3212,experiments\lingxi_topk_comparison\us_large_cap\lingxi_h5_top20_raw_daily.csv
us_large_cap,lingxi,industry_size_neutral,5,20,10.00,752,0.34580354,0.06387638,5.41363690,-0.14604714,1.42603843,0.04522366,2.03037548,0.12666223,0.64893617,0.27500000,-0.01195627,2023:0.4359;2024:0.2917;2025:0.3146,experiments\lingxi_topk_comparison\us_large_cap\lingxi_h5_top20_industry_size_neutral_daily.csv
us_large_cap,lingxi,raw,5,10,10.00,752,0.50887261,0.08421110,6.04282115,-0.14440235,2.41288750,0.17248680,3.33220099,0.16994681,0.62632979,0.41369681,0.30845264,2023:0.6671;2024:0.4186;2025:0.4533,experiments\lingxi_topk_comparison\us_large_cap\lingxi_h5_top10_raw_daily.csv
us_large_cap,lingxi,industry_size_neutral,5,10,10.00,752,0.41824218,0.07666471,5.45547236,-0.13826354,1.83688976,0.10186046,2.46407367,0.19574468,0.62101064,0.34667553,0.10962443,2023:0.5508;2024:0.3001;2025:0.4158,experiments\lingxi_topk_comparison\us_large_cap\lingxi_h5_top10_industry_size_neutral_daily.csv
us_large_cap,lingxi,raw,5,5,10.00,752,0.61329943,0.10074777,6.08747419,-0.18389700,3.16723388,0.25405518,3.52489675,0.20811170,0.61569149,0.52234043,0.46105197,2023:0.8125;2024:0.5495;2025:0.4956,experiments\lingxi_topk_comparison\us_large_cap\lingxi_h5_top5_raw_daily.csv
us_large_cap,lingxi,industry_size_neutral,5,5,10.00,752,0.51261597,0.08987194,5.70384894,-0.14740533,2.43821638,0.17542401,2.91394388,0.24694149,0.61436170,0.44920213,0.24512457,2023:0.7198;2024:0.2893;2025:0.5628,experiments\lingxi_topk_comparison\us_large_cap\lingxi_h5_top5_industry_size_neutral_daily.csv
us_large_cap,qlib_alpha158,raw,5,30,10.00,752,0.31864470,0.06482091,4.91577027,-0.15181536,1.28284585,0.02435643,2.07331669,0.00066489,0.64760638,0.30000000,0.02139216,2023:0.4222;2024:0.2494;2025:0.2909,experiments\lingxi_topk_comparison\us_large_cap\qlib_alpha158_h5_top30_raw_daily.csv
us_large_cap,qlib_alpha158,industry_size_neutral,5,30,10.00,752,0.31864470,0.06482091,4.91577027,-0.15181536,1.28284585,0.02435643,2.07331669,0.00066489,0.64760638,0.30000000,0.02139216,2023:0.4222;2024:0.2494;2025:0.2909,experiments\lingxi_topk_comparison\us_large_cap\qlib_alpha158_h5_top30_industry_size_neutral_daily.csv
us_large_cap,qlib_alpha158,raw,5,20,10.00,752,0.34770478,0.07301099,4.76236192,-0.16515327,1.43628026,0.04733886,2.05115790,0.00066489,0.64494681,0.40000000,0.02096527,2023:0.4418;2024:0.2604;2025:0.3477,experiments\lingxi_topk_comparison\us_large_cap\qlib_alpha158_h5_top20_raw_daily.csv
us_large_cap,qlib_alpha158,industry_size_neutral,5,20,10.00,752,0.34770478,0.07301099,4.76236192,-0.16515327,1.43628026,0.04733886,2.05115790,0.00066489,0.64494681,0.40000000,0.02096527,2023:0.4418;2024:0.2604;2025:0.3477,experiments\lingxi_topk_comparison\us_large_cap\qlib_alpha158_h5_top20_industry_size_neutral_daily.csv
