market,method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate,daily_source
cn_a_share,lingxi,raw,5,5,10.00,479,0.84142770,0.22535867,3.73372670,-0.27629086,2.19156957,0.68177622,3.83780178,0.20855950,0.53027140,experiments\lingxi_functionevolve_blend\lingxi_h5_top5_raw_daily.csv
cn_a_share,lingxi,industry_size_neutral,5,5,10.00,479,0.50755298,0.20288671,2.50165715,-0.30783276,1.18202336,0.37576379,2.44415109,0.20688935,0.50313152,experiments\lingxi_functionevolve_blend\lingxi_h5_top5_industry_size_neutral_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.15,raw,5,5,10.00,479,0.93149834,0.22817967,4.08230211,-0.27208030,2.49483071,0.76450720,4.26014813,0.23152401,0.54279749,experiments\lingxi_functionevolve_blend\lingxi_functionevolve_memory_w0.15_h5_top5_raw_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.15,industry_size_neutral,5,5,10.00,479,0.58751408,0.21340608,2.75303346,-0.25644946,1.40725840,0.44983898,2.77888194,0.21816284,0.52818372,experiments\lingxi_functionevolve_blend\lingxi_functionevolve_memory_w0.15_h5_top5_industry_size_neutral_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.30,raw,5,5,10.00,479,1.03163564,0.23777088,4.33878038,-0.25609402,2.84725866,0.85644790,4.50898329,0.28747390,0.53653445,experiments\lingxi_functionevolve_blend\lingxi_functionevolve_memory_w0.30_h5_top5_raw_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.30,industry_size_neutral,5,5,10.00,479,0.54374270,0.21110326,2.57571915,-0.28152055,1.28266408,0.40982419,2.57817213,0.27620042,0.51983299,experiments\lingxi_functionevolve_blend\lingxi_functionevolve_memory_w0.30_h5_top5_industry_size_neutral_daily.csv
cn_a_share,lingxi,raw,5,10,10.00,479,0.65444500,0.18597560,3.51898322,-0.22019191,1.60383205,0.50877114,3.73664506,0.19352818,0.50939457,experiments\lingxi_functionevolve_blend\lingxi_h5_top10_raw_daily.csv
cn_a_share,lingxi,industry_size_neutral,5,10,10.00,479,0.53065773,0.17588162,3.01713003,-0.24795377,1.24602765,0.39681956,3.41730233,0.16534447,0.51148225,experiments\lingxi_functionevolve_blend\lingxi_h5_top10_industry_size_neutral_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.15,raw,5,10,10.00,479,0.71232064,0.19000526,3.74895216,-0.18425256,1.77969444,0.56209880,4.04468270,0.21294363,0.52192067,experiments\lingxi_functionevolve_blend\lingxi_functionevolve_memory_w0.15_h5_top10_raw_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.15,industry_size_neutral,5,10,10.00,479,0.49485124,0.17407700,2.84271463,-0.25619051,1.14721100,0.36390218,3.16075458,0.19039666,0.50939457,experiments\lingxi_functionevolve_blend\lingxi_functionevolve_memory_w0.15_h5_top10_industry_size_neutral_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.30,raw,5,10,10.00,479,0.69076858,0.19046894,3.62667317,-0.14448218,1.71356943,0.54274643,3.92919249,0.27390397,0.53027140,experiments\lingxi_functionevolve_blend\lingxi_functionevolve_memory_w0.30_h5_top10_raw_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.30,industry_size_neutral,5,10,10.00,479,0.50453921,0.17405242,2.89877727,-0.26536227,1.17373935,0.37270044,3.23337784,0.26200418,0.52400835,experiments\lingxi_functionevolve_blend\lingxi_functionevolve_memory_w0.30_h5_top10_industry_size_neutral_daily.csv
