candidate,candidate_label,market,topk,variant,days,candidate_ann_return,menu_ann_return,ann_diff,candidate_sharpe,menu_sharpe,sharpe_diff,candidate_mdd,menu_mdd,mdd_diff,ann_diff_bootstrap_ci_low,ann_diff_bootstrap_ci_high,sharpe_diff_bootstrap_ci_low,sharpe_diff_bootstrap_ci_high,mdd_diff_bootstrap_ci_low,mdd_diff_bootstrap_ci_high,ann_win,sharpe_win,mdd_win,positive_ann_ci,positive_sharpe_ci,positive_mdd_ci,state,candidate_daily_source,menu_daily_source
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,10,industry_size_neutral,347,1.63484948,2.08562132,-0.45077184,11.72971221,13.30505125,-0.24826277,-0.07390821,-0.08796015,0.01405194,-0.39113297,0.06245621,-1.65834922,1.25669546,-0.02945538,0.06259963,False,False,True,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\cn_a_share\case_lingxi_tabular_rl_router_h5_top10_industry_size_neutral_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\cn_a_share\case_lingxi_static_menu_h5_top10_industry_size_neutral_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,raw,347,2.61319758,3.23575911,-0.62256153,13.18582015,14.57889669,-0.03625919,-0.10969224,-0.11571274,0.00602050,-0.53777000,0.23234964,-1.66545701,1.82104563,-0.03043736,0.10785901,False,False,True,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\cn_a_share\case_lingxi_tabular_rl_router_h5_top5_raw_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\cn_a_share\case_lingxi_static_menu_h5_top5_raw_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,5,industry_size_neutral,347,2.66271134,2.98552941,-0.32281807,13.21069171,14.32884896,-0.20022400,-0.09970106,-0.13294699,0.03324593,-0.29237467,0.16005394,-1.34807943,0.97826366,-0.03485610,0.07065497,False,False,True,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\cn_a_share\case_lingxi_tabular_rl_router_h5_top5_industry_size_neutral_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\cn_a_share\case_lingxi_static_menu_h5_top5_industry_size_neutral_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,raw,361,0.52699783,0.53264620,-0.00564837,5.90475173,5.83833921,0.06169061,-0.13793477,-0.11600676,-0.02192801,-0.11452193,0.10077783,-1.07470423,1.39888172,-0.04137189,0.03074381,False,True,False,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\us_large_cap\case_lingxi_tabular_rl_router_h5_top10_raw_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\us_large_cap\case_lingxi_static_menu_h5_top10_raw_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,10,industry_size_neutral,361,0.31945194,0.31575129,0.00370065,4.02091016,3.84899346,0.14308787,-0.17005407,-0.16560902,-0.00444505,-0.03237323,0.04070536,-0.27683538,0.62196846,-0.00693929,0.02427833,True,True,False,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\us_large_cap\case_lingxi_tabular_rl_router_h5_top10_industry_size_neutral_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\us_large_cap\case_lingxi_static_menu_h5_top10_industry_size_neutral_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,5,raw,361,0.61702002,0.71399042,-0.09697040,5.53101856,6.15050283,-0.33669749,-0.13993165,-0.16727087,0.02733922,-0.15626039,0.04451638,-1.34770504,0.63449035,-0.03835492,0.03736881,False,False,True,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\us_large_cap\case_lingxi_tabular_rl_router_h5_top5_raw_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\us_large_cap\case_lingxi_static_menu_h5_top5_raw_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,us_large_cap,5,industry_size_neutral,361,0.44886117,0.65753764,-0.20867647,4.32119313,5.71328056,-0.82868808,-0.17167185,-0.16715023,-0.00452163,-0.31106063,0.03397912,-2.32045829,0.62168044,-0.05251531,0.05503766,False,False,False,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\us_large_cap\case_lingxi_tabular_rl_router_h5_top5_industry_size_neutral_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\us_large_cap\case_lingxi_static_menu_h5_top5_industry_size_neutral_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,hk_large_cap,10,raw,353,0.47472262,0.39060881,0.08411381,4.86430042,4.71432912,0.00868151,-0.14939569,-0.10365854,-0.04573715,-0.03091946,0.14813932,-0.95136785,0.98737163,-0.06443954,0.01529873,True,True,False,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\hk_large_cap\case_lingxi_tabular_rl_router_h5_top10_raw_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\hk_large_cap\case_lingxi_static_menu_h5_top10_raw_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,hk_large_cap,10,industry_size_neutral,353,0.39278863,0.40307678,-0.01028815,4.11802502,4.62108859,-0.40543785,-0.14738162,-0.14916395,0.00178233,-0.08234965,0.06620190,-1.34599760,0.45634293,-0.05508047,0.01294493,False,False,True,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\hk_large_cap\case_lingxi_tabular_rl_router_h5_top10_industry_size_neutral_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\hk_large_cap\case_lingxi_static_menu_h5_top10_industry_size_neutral_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,hk_large_cap,5,raw,353,0.48035122,0.42935097,0.05100025,3.97257204,4.38967751,-0.39643971,-0.18086147,-0.11848915,-0.06237232,-0.15031128,0.22051731,-2.08419402,1.25735981,-0.11326299,0.03033372,True,False,False,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\hk_large_cap\case_lingxi_tabular_rl_router_h5_top5_raw_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\hk_large_cap\case_lingxi_static_menu_h5_top5_raw_daily.csv
