date,n,topk,gross_return,benchmark_return,active_return,net_return,net_active_return,turnover,cost,max_industry_weight,size_exposure
2023-01-03,20,10,0.01497536543913768,0.014138626214438973,0.0008367392246987071,0.01447536543913768,0.00033673922469870665,0.5,0.0005,0.6,0.04420713396858389
2023-01-04,20,10,0.0144477294317127,0.013041473159781635,0.0014062562719310643,0.0139477294317127,0.0009062562719310639,0.5,0.0005,0.30000000000000004,1.0243583380095416
2023-01-05,20,10,0.09491854312378531,0.0581661870289867,0.036752356094798606,0.09441854312378531,0.036252356094798606,0.5,0.0005,0.4,-0.8175634220578232
2023-01-06,20,10,0.10047368684676491,0.06299537414887094,0.03747831269789398,0.10007368684676492,0.03707831269789398,0.4,0.0004,0.4,0.08490694077919514
2023-01-07,20,10,0.030083245961682204,0.07136108512253123,-0.041277839160849025,0.029483245961682204,-0.04187783916084902,0.6000000000000001,0.0006000000000000001,0.4,-0.27500044062926676
2023-01-08,20,10,0.028360092441225802,0.07479731372555862,-0.046437221284332815,0.0280600924412258,-0.04673722128433282,0.30000000000000004,0.00030000000000000003,0.5,1.6700057753966675
2023-01-09,20,10,0.03801799436605384,0.04626940828299869,-0.008251413916944852,0.03771799436605384,-0.008551413916944854,0.30000000000000004,0.00030000000000000003,0.4,0.6681971131719706
2023-01-10,20,10,0.03354411781904663,0.025757489487067832,0.0077866283319787954,0.03314411781904663,0.007386628331978798,0.4,0.0004,0.5,-1.029984446145118
2023-01-11,20,10,0.0292136892739628,0.017080857070555348,0.012132832203407454,0.029013689273962803,0.011932832203407455,0.2,0.0002,0.6,-0.9173875183822879
2023-01-12,20,10,0.01887485601342178,0.01226701773945878,0.006607838273962999,0.01837485601342178,0.006107838273962999,0.5,0.0005,0.30000000000000004,0.3917584164999859
2023-01-13,20,10,-0.0014588011525849232,-0.005855856532066444,0.004397055379481521,-0.0018588011525849232,0.003997055379481521,0.4,0.0004,0.6,0.8831057374612286
2023-01-14,20,10,-0.0073277970403432535,-0.007132158827976733,-0.00019563821236652078,-0.008027797040343253,-0.00089563821236652,0.7000000000000001,0.0007000000000000001,0.30000000000000004,0.6780744517619581
2023-01-15,20,10,0.009092385268504226,0.008954976259352987,0.0001374090091512386,0.008292385268504225,-0.0006625909908487618,0.8,0.0008,0.6,-0.31993443680196876
2023-01-16,20,10,0.00895871399066234,0.007038548029470475,0.0019201659611918654,0.008258713990662341,0.0012201659611918662,0.7000000000000001,0.0007000000000000001,0.5,0.6821240924048126
