date,symbol,score,label,adapter_weight
2025-04-07,sh600000,0.6278724655,0.0549222344,0.000000
2025-04-07,sh600009,0.2351718566,0.0649054398,0.000000
2025-04-07,sh600010,-0.0020571487,0.0727272727,0.000000
2025-04-07,sh600011,0.8685292616,0.0220911926,0.000000
2025-04-07,sh600015,1.3368677401,0.0337381030,0.000000
2025-04-07,sh600016,-0.2428667554,0.0394736697,0.000000
2025-04-07,sh600018,0.6408061464,0.0128440343,0.000000
2025-04-07,sh600019,0.2328402107,0.0179372911,0.000000
2025-04-07,sh600023,0.7874284860,0.0180180405,0.000000
2025-04-07,sh600025,1.1199170794,0.0242557068,0.000000
2025-04-07,sh600026,-0.5339389608,0.0323558643,0.000000
2025-04-07,sh600027,0.6444113098,0.0491493425,0.000000
2025-04-07,sh600028,0.3860230389,0.0427510540,0.000000
2025-04-07,sh600030,-0.1322922904,0.0503746878,0.000000
2025-04-07,sh600031,0.6208494353,0.0494444473,0.000000
2025-04-07,sh600036,0.4787600522,0.0159196639,0.000000
2025-04-07,sh600039,2.2722725537,0.0179640305,0.000000
2025-04-07,sh600048,0.2125886101,0.0933165303,0.000000
2025-04-07,sh600050,-0.8206620902,0.0423076053,0.000000
2025-04-07,sh600061,-0.1624855086,0.0638629649,0.000000
2025-04-07,sh600066,0.3178818293,0.0828952447,0.000000
2025-04-07,sh600085,0.3595577811,0.0434032909,0.000000
2025-04-07,sh600089,-0.0204466044,0.0341419141,0.000000
2025-04-07,sh600104,-0.8544775143,0.1135057281,0.000000
2025-04-07,sh600111,0.7499455489,0.0707070703,0.000000
2025-04-07,sh600150,-0.3682303411,0.0666178671,0.000000
2025-04-07,sh600160,0.0006195156,0.0860071214,0.000000
2025-04-07,sh600161,1.5046554651,0.0040871922,0.000000
2025-04-07,sh600176,1.3071950616,0.0041771550,0.000000
2025-04-07,sh600183,-1.6168313539,-0.0228522747,0.000000
2025-04-07,sh600188,0.2215482217,0.0686517885,0.000000
2025-04-07,sh600196,0.1824455018,0.0323275882,0.000000
2025-04-07,sh600219,-0.4733447373,0.0450450937,0.000000
2025-04-07,sh600233,-0.8918897429,0.0632090438,0.000000
2025-04-07,sh600276,1.3125630344,0.0034907648,0.000000
2025-04-07,sh600309,-0.4501774375,0.0047321282,0.000000
2025-04-07,sh600332,0.0106730582,0.0384310733,0.000000
2025-04-07,sh600346,-0.0653044224,0.0155405611,0.000000
2025-04-07,sh600362,0.6183332855,0.0581799647,0.000000
2025-04-07,sh600372,-0.3267109661,0.0786627714,0.000000
2025-04-07,sh600377,0.5515803429,0.0013037434,0.000000
2025-04-07,sh600406,0.0404384944,0.0709057752,0.000000
2025-04-07,sh600415,1.8255036796,0.1194255127,0.000000
2025-04-07,sh600426,1.0376262306,0.0204578638,0.000000
2025-04-07,sh600436,0.5216542015,0.0245601704,0.000000
2025-04-07,sh600438,-1.4957834334,0.0381861575,0.000000
2025-04-07,sh600482,-0.2713988726,0.0488798357,0.000000
2025-04-07,sh600489,1.4902859519,0.1775999813,0.000000
2025-04-07,sh600515,-0.1985378171,0.1428571429,0.000000
2025-04-07,sh600519,2.1895505195,0.0346599999,0.000000
2025-04-07,sh600522,-0.2557973382,0.0706436602,0.000000
2025-04-07,sh600547,1.8363816720,0.2184542298,0.000000
2025-04-07,sh600570,-1.5990128977,0.0512096865,0.000000
2025-04-07,sh600584,-1.2587854286,0.0782411839,0.000000
2025-04-07,sh600585,0.9277381634,0.0642705839,0.000000
2025-04-07,sh600600,1.8667690318,-0.0008952505,0.000000
2025-04-07,sh600660,0.4582770378,0.0081967083,0.000000
2025-04-07,sh600674,1.5078078266,0.0078360808,0.000000
2025-04-07,sh600690,0.6229001745,0.0504665132,0.000000
2025-04-07,sh600741,0.1785985870,-0.0041815500,0.000000
2025-04-07,sh600760,-0.0078263822,0.0846265727,0.000000
2025-04-07,sh600795,1.2797302398,0.0528737158,0.000000
2025-04-07,sh600803,0.3381690291,0.0072313996,0.000000
2025-04-07,sh600809,1.5448202702,-0.0036951513,0.000000
2025-04-07,sh600845,-1.5584114363,0.0487711307,0.000000
2025-04-07,sh600875,0.3975289667,0.0852273131,0.000000
2025-04-07,sh600886,0.6329367318,0.0215427035,0.000000
2025-04-07,sh600887,0.9178150960,0.0623414132,0.000000
2025-04-07,sh600893,0.1852400900,0.0845425916,0.000000
2025-04-07,sh600900,1.0218252236,0.0289445589,0.000000
2025-04-07,sh600905,0.6112168932,0.0311749653,0.000000
2025-04-07,sh600918,0.0553405070,0.0550773605,0.000000
2025-04-07,sh600919,0.6989475112,0.0085929757,0.000000
2025-04-07,sh600926,0.1835371174,0.0294964377,0.000000
2025-04-07,sh600938,1.1911030322,0.0632802479,0.000000
2025-04-07,sh600941,-0.2910840604,0.0179806353,0.000000
2025-04-07,sh600958,-0.2921317812,0.0685579961,0.000000
2025-04-07,sh600989,-0.4830271856,0.0699301367,0.000000
2025-04-07,sh600999,-0.0681608957,0.0329934203,0.000000
2025-04-07,sh601006,0.2529250242,0.0200926746,0.000000
2025-04-07,sh601009,0.6132049203,0.0127952840,0.000000
2025-04-07,sh601012,-0.5152318796,0.0507757405,0.000000
2025-04-07,sh601018,0.7197892085,0.0697674778,0.000000
2025-04-07,sh601021,0.2134066347,0.0776876319,0.000000
2025-04-07,sh601058,-0.8030976568,0.0288065953,0.000000
2025-04-07,sh601059,-0.3151777473,0.0439944160,0.000000
2025-04-07,sh601066,0.0800938034,0.0140845235,0.000000
2025-04-07,sh601077,1.0949360143,0.0815971360,0.000000
2025-04-07,sh601088,1.3617130626,0.0337439546,0.000000
2025-04-07,sh601100,-0.8048822353,0.0310602829,0.000000
2025-04-07,sh601117,0.2342265820,0.0547337541,0.000000
2025-04-07,sh601127,-1.3959581269,0.1859402463,0.000000
2025-04-07,sh601136,-0.2840483325,0.0455958898,0.000000
2025-04-07,sh601138,-1.1227229470,0.0448979643,0.000000
2025-04-07,sh601166,0.6888622117,0.0332836833,0.000000
2025-04-07,sh601169,0.9126251447,0.0271185247,0.000000
2025-04-07,sh601186,-0.1599271563,0.0499999046,0.000000
2025-04-07,sh601211,-0.7440061381,0.0809585232,0.000000
2025-04-07,sh601225,0.8176927499,0.0457172930,0.000000
2025-04-07,sh601229,1.0985310565,-0.0050100555,0.000000
2025-04-07,sh601236,-0.3526485784,0.0464789630,0.000000
2025-04-07,sh601238,-0.6858379277,0.0841121057,0.000000
2025-04-07,sh601288,1.1180364606,0.0298210811,0.000000
2025-04-07,sh601298,2.0029633691,-0.0066518558,0.000000
2025-04-07,sh601318,0.8562881938,0.0189456404,0.000000
2025-04-07,sh601319,0.6002562453,0.0494590508,0.000000
2025-04-07,sh601328,0.8675364854,0.0370371223,0.000000
2025-04-07,sh601336,1.1097457972,0.0160574812,0.000000
2025-04-07,sh601377,-0.1544229002,0.0587156751,0.000000
2025-04-07,sh601390,-0.0781774778,0.0561797797,0.000000
